type,timediff,n_items
closed,545,3
closed,550,2
closed,553,1
closed,595,1
closed,596,2
closed,598,2
closed,609,3
closed,612,3
open,-2747,1
open,-1768,1
open,-796,1
open,-719,1
open,-520,1
open,-385,1
open,-372,1
open,-205,1
open,-162,1
open,-149,1
open,-141,1
open,-134,1
open,-133,2
open,-118,1
open,-115,1
open,-89,1
open,-88,1
open,-81,1
open,-80,3
open,-70,1
open,-64,2
open,-62,2
open,-59,7
open,-57,1
open,-54,2
open,-44,4
open,-41,2
open,-33,1
open,-25,5
open,-22,2
open,-12,9
open,-9,3
open,-3,5
open,-1,7
open,12,44
open,31,30
open,36,33
open,73,16
open,74,21
open,79,15
open,87,23
open,95,11
open,100,32
open,103,22
open,110,19
open,111,17
open,113,13
open,119,17
open,124,26
open,134,13
open,137,27
open,143,13
open,145,24
open,153,21
open,155,18
open,166,14
open,172,10
open,187,16
open,193,19
open,195,15
open,214,19
open,224,12
open,225,12
open,227,14
open,243,26
open,254,18
open,261,10
open,267,18
open,269,18
open,270,13
open,277,15
open,278,12
open,285,23
open,296,20
open,299,16
open,312,20
open,315,10
open,333,10
open,338,10
open,354,9
open,357,13
open,359,9
open,370,14
open,378,14
open,389,17
open,391,7
open,394,4
open,397,5
open,405,19
open,407,10
open,412,2
open,415,6
open,426,8
open,436,10
open,437,12
open,444,9
open,452,16
open,455,16
open,457,14
open,460,4
open,465,6
open,468,7
open,473,7
open,476,3
open,479,5
open,481,9
open,482,8
open,487,2
open,489,10
open,502,2
open,510,4
open,511,8
open,519,2
open,527,1
open,539,4
open,542,4
open,547,4
open,548,5
open,553,3
open,563,2
open,572,2
open,580,2
open,582,4
open,590,3
open,603,2
open,608,5
open,616,2
open,617,2
open,619,1
open,625,2
closed,-2512,1
closed,-1123,1
closed,-1068,1
closed,-523,1
closed,-361,1
closed,-257,2
closed,-197,1
closed,-141,1
closed,-131,1
closed,-125,3
closed,-115,2
closed,-112,1
closed,-107,4
closed,-91,3
closed,-78,1
closed,-59,2
closed,-53,2
closed,-51,1
closed,-40,1
closed,-38,2
closed,-35,6
closed,-32,3
closed,-27,4
closed,-24,1
closed,-16,2
closed,-9,2
closed,-8,1
closed,-6,1
closed,7,37
closed,15,42
closed,18,27
closed,21,29
closed,26,33
closed,32,19
closed,34,13
closed,53,10
closed,61,6
closed,63,12
closed,66,14
closed,71,12
closed,79,10
closed,85,14
closed,87,10
closed,92,18
closed,108,16
closed,113,17
closed,119,12
closed,127,8
closed,138,9
closed,158,9
closed,167,11
closed,169,19
closed,172,12
closed,180,6
closed,190,10
closed,201,9
closed,209,16
closed,211,13
closed,222,7
closed,228,15
closed,230,11
closed,233,6
closed,241,5
closed,246,9
closed,254,7
closed,257,5
closed,267,10
closed,278,8
closed,280,12
closed,281,23
closed,288,10
closed,293,8
closed,296,6
closed,310,4
closed,320,10
closed,331,10
closed,336,8
closed,339,14
closed,344,22
closed,357,1
closed,360,4
closed,362,10
closed,373,5
closed,376,6
closed,394,8
closed,400,14
closed,402,7
closed,405,5
closed,413,3
closed,421,5
closed,424,8
closed,447,9
closed,450,4
closed,455,4
closed,474,4
closed,476,6
closed,482,7
closed,497,5
closed,498,4
closed,500,3
closed,503,2
closed,516,6
closed,522,6
closed,527,4
closed,529,3
closed,532,7
closed,534,2
closed,535,3
closed,561,2
closed,566,1
closed,572,9
closed,575,2
closed,580,3
closed,585,2
closed,588,2
closed,614,2
closed,622,1
open,-439,1
open,-432,1
open,-371,1
open,-204,1
open,-203,3
open,-183,1
open,-166,1
open,-150,1
open,-124,3
open,-108,1
open,-82,1
open,-45,7
open,-40,1
open,-32,3
open,-21,3
open,-10,6
open,-5,13
open,-2,9
open,3,136
open,9,59
open,14,23
open,25,29
open,38,27
open,43,21
open,46,20
open,48,32
open,51,27
open,53,20
open,56,21
open,75,14
open,78,17
open,85,17
open,109,14
open,114,17
open,115,21
open,117,20
open,122,20
open,130,21
open,144,19
open,152,17
open,154,17
open,167,19
open,173,13
open,175,15
open,178,43
open,181,13
open,184,13
open,186,14
open,192,14
open,194,14
open,204,53
open,207,28
open,210,27
open,212,16
open,221,29
open,223,12
open,229,17
open,249,14
open,258,14
open,266,18
open,282,15
open,289,16
open,292,11
open,294,15
open,300,15
open,302,18
open,303,9
open,313,12
open,316,14
open,318,12
open,321,25
open,329,13
open,335,12
open,340,12
open,348,18
open,358,18
open,380,5
open,385,15
open,387,10
open,393,6
open,400,11
open,401,7
open,406,12
open,422,14
open,425,13
open,430,8
open,433,7
open,440,1
open,456,14
open,459,7
open,462,5
open,469,5
open,470,7
open,478,11
open,488,12
open,490,4
open,493,4
open,496,3
open,514,8
open,515,4
open,517,6
open,520,3
open,523,5
open,530,2
open,531,6
open,536,12
open,546,2
open,549,1
open,559,4
open,573,2
open,576,4
open,581,7
open,586,2
open,589,2
open,591,5
open,594,4
open,602,2
open,607,3
open,612,2
open,613,1
closed,-466,1
closed,-307,1
closed,-132,1
closed,-121,1
closed,-113,3
closed,-105,2
closed,-95,3
closed,-74,1
closed,-65,1
closed,-57,1
closed,-23,2
closed,-20,1
closed,-13,3
closed,-5,9
closed,-2,5
closed,9,39
closed,17,26
closed,25,22
closed,35,18
closed,49,23
closed,54,17
closed,64,22
closed,70,7
closed,72,20
closed,73,11
closed,75,13
closed,81,13
closed,83,15
closed,88,8
closed,91,18
closed,109,10
closed,117,6
closed,120,10
closed,123,21
closed,128,16
closed,134,7
closed,141,7
closed,142,12
closed,144,14
closed,163,15
closed,173,14
closed,178,9
closed,186,9
closed,194,10
closed,205,7
closed,208,10
closed,213,10
closed,221,14
closed,223,19
closed,229,9
closed,234,9
closed,237,4
closed,252,13
closed,253,8
closed,255,6
closed,258,5
closed,260,19
closed,266,6
closed,268,9
closed,274,2
closed,276,9
closed,277,8
closed,279,13
closed,284,8
closed,285,9
closed,295,16
closed,308,10
closed,316,5
closed,332,8
closed,335,6
closed,337,10
closed,342,5
closed,348,18
closed,353,3
closed,361,3
closed,369,3
closed,374,7
closed,390,3
closed,393,9
closed,401,12
closed,404,5
closed,409,4
closed,411,8
closed,412,6
closed,417,8
closed,435,3
closed,443,4
closed,446,1
closed,451,5
closed,464,6
closed,475,2
closed,483,4
closed,499,3
closed,504,4
closed,510,2
closed,517,3
closed,520,6
closed,528,2
closed,533,1
closed,541,2
