country,type,items,blogs,facebook,news,policies,twitter,wikipedia
KW,green,238,9,16,9,0,100,6
KY,green,1,0,0,0,0,0,0
LI,green,12,1,0,0,0,5,0
LR,green,10,3,4,3,2,7,2
LT,green,762,24,46,13,2,307,14
LU,green,951,38,78,49,14,440,14
MA,green,942,25,121,56,2,444,13
MC,green,35,10,4,3,1,19,2
ME,green,100,0,3,0,0,10,0
MV,green,8,3,4,0,1,7,1
OM,green,175,9,18,3,2,74,2
PK,green,2981,64,178,44,23,994,23
RS,green,3164,61,126,27,5,657,19
RU,green,14739,819,1164,448,11,8631,217
SA,green,4555,155,285,217,22,1661,50
SG,green,5513,372,615,457,50,2974,124
SY,green,74,1,7,1,4,28,1
SZ,green,16,1,3,0,0,8,1
TN,green,1435,16,50,26,4,391,9
UG,green,459,41,76,24,17,302,9
UY,green,491,20,51,15,7,231,6
AW,green,1,0,0,0,0,0,0
BE,green,17289,1017,1956,763,309,9973,386
BH,green,59,3,10,3,1,24,2
CG,green,22,0,1,1,1,10,0
CN,green,124849,4023,8484,3465,492,50828,1141
DO,green,16,0,2,2,0,6,1
DZ,green,1159,10,48,30,2,306,8
GW,green,8,0,1,1,2,7,1
HT,green,25,0,6,2,2,21,2
HU,green,9117,276,693,216,21,3563,129
KM,green,1,0,0,0,0,0,0
KR,green,22352,779,1839,681,115,9401,269
LC,green,1,0,0,0,0,0,0
MG,green,53,4,6,3,3,37,2
MK,green,286,3,12,4,1,80,0
MQ,green,1,0,0,0,0,0,0
NI,green,17,2,6,2,2,8,0
NP,green,171,18,36,9,10,106,2
QA,green,516,32,77,35,6,292,9
RW,green,71,7,8,6,5,38,1
SK,green,1197,36,76,16,6,498,18
SM,green,4,0,0,0,0,2,0
SN,green,200,5,16,7,6,72,0
SV,green,9,0,1,1,1,5,0
TG,green,24,3,8,2,0,14,1
TZ,green,308,26,49,19,12,185,10
AL,green,40,2,3,1,1,17,0
BZ,green,2,0,1,0,0,2,0
CR,green,221,11,34,13,7,102,2
EE,green,724,61,98,27,9,413,19
ES,green,66079,3038,7365,3190,542,30091,972
FI,green,10472,705,1411,658,129,6005,215
GB,green,176607,17918,28721,15847,5002,114749,4775
GD,green,17,0,2,1,0,10,1
GP,green,61,2,8,5,3,32,1
IL,green,9092,652,919,465,53,5252,199
JM,green,100,0,4,0,0,28,0
KE,green,751,74,122,74,59,481,19
KG,green,26,1,0,0,0,14,0
LA,green,39,4,6,2,6,27,1
LV,green,233,10,24,7,3,100,3
MD,green,82,2,5,2,1,38,1
MW,green,235,20,42,18,16,129,8
NA,green,40,1,3,1,1,17,0
PF,green,48,7,5,4,3,23,3
PW,green,2,2,2,1,0,2,0
PY,green,20,2,4,1,0,11,1
SD,green,109,6,9,5,4,52,0
TR,green,13163,189,639,131,46,3423,75
TT,green,76,1,8,0,1,30,3
VC,green,0,0,0,0,0,0,0
WS,green,1,0,0,0,1,0,0
AD,green,7,0,3,1,0,4,0
AF,green,11,0,1,1,1,5,1
AG,green,3,0,1,0,1,3,0
AM,green,963,106,213,101,5,854,19
AN,green,2,0,0,0,0,1,0
AR,green,6218,317,613,124,46,2905,121
BN,green,42,2,3,1,0,19,0
CD,green,73,4,19,1,2,40,2
CI,green,112,9,11,6,4,60,1
CO,green,1995,81,251,58,20,898,33
CU,green,274,6,17,5,0,116,3
DM,green,5,1,2,1,0,3,1
EG,green,2270,52,216,51,17,904,21
FJ,green,24,2,4,2,0,12,0
GY,green,9,1,1,1,0,4,0
HR,green,2811,54,137,32,10,744,20
IN,green,25751,993,2231,547,188,12572,375
IR,green,9998,247,613,124,22,3807,56
IS,green,613,37,96,41,17,328,14
JP,green,50020,2480,5047,1932,208,26248,625
KZ,green,407,11,30,7,2,212,9
LY,green,80,3,1,1,0,23,2
MM,green,42,4,6,2,3,24,0
MR,green,8,0,0,0,1,3,0
MX,green,6252,328,723,151,40,3244,111
PH,green,245,14,39,11,13,127,5
PL,green,13305,488,1208,316,47,6579,210
PT,green,14999,508,1698,395,104,5860,173
SC,green,6,2,1,0,1,5,0
SE,green,22377,1506,2864,1633,414,12160,511
SI,green,1866,50,128,26,12,754,20
SR,green,13,0,3,0,1,5,0
TH,green,2520,90,274,81,66,1135,49
TJ,green,12,0,1,0,1,6,0
VA,green,8,2,3,3,0,7,1
VU,green,2,0,1,0,0,1,0
YE,green,37,2,5,2,2,13,3
BA,green,176,1,5,3,0,40,1
BB,green,28,1,3,2,2,11,0
BF,green,125,10,12,8,6,60,3
BG,green,825,44,65,16,2,373,14
BM,green,7,3,2,2,0,3,0
BY,green,299,6,22,4,1,119,4
CH,green,30566,2382,3956,2307,517,17281,773
CW,green,1,1,1,1,0,1,0
DJ,green,5,0,0,1,0,1,0
EC,green,348,20,54,15,1,180,6
FR,green,71689,3659,5786,4099,668,33275,1236
GF,green,67,11,7,5,1,42,1
GH,green,396,23,43,21,21,219,5
GL,green,26,5,4,4,1,18,1
GM,green,45,5,7,7,6,30,1
GN,green,17,1,3,1,1,13,1
GR,green,4891,218,444,121,42,2357,74
HN,green,13,0,3,1,2,6,1
ID,green,761,42,82,21,24,325,4
IT,green,55328,2909,5498,2248,584,28222,850
JO,green,443,8,32,5,6,156,5
LB,green,503,26,61,27,10,234,11
LK,green,306,13,38,10,18,148,6
ML,green,53,6,8,7,3,26,1
MN,green,45,3,4,3,0,27,2
MS,green,1,0,0,0,1,0,0
MT,green,120,7,14,6,2,65,3
MU,green,32,1,3,0,1,12,0
MY,green,6978,111,385,106,42,1630,83
NG,green,1143,36,100,26,21,402,18
NZ,green,3913,318,633,286,132,2234,106
PE,green,444,26,84,18,16,239,5
PS,green,54,6,3,1,2,22,0
SO,green,2,0,1,0,0,2,0
SS,green,3,0,0,0,1,2,0
ST,green,1,0,0,0,0,0,0
TD,green,8,2,1,2,0,6,1
TW,green,9503,352,1065,312,51,4487,104
US,green,486908,49450,81218,53092,13615,292565,15662
VE,green,327,16,40,10,0,166,3
ZW,green,146,13,19,11,5,74,1
AO,green,21,0,2,0,0,7,0
AT,green,9354,743,1153,879,115,5459,242
BI,green,16,2,3,0,2,10,1
BJ,green,127,5,12,5,4,68,0
BR,green,30952,911,3565,703,157,12374,353
CF,green,10,0,1,1,0,8,0
CL,green,7016,503,718,255,42,3488,177
CM,green,366,19,52,8,9,154,5
CY,green,554,28,42,16,8,271,8
ER,green,9,0,0,0,0,4,0
FK,green,1,0,0,0,0,1,0
GA,green,39,4,6,5,2,25,3
GE,green,285,19,38,7,3,170,5
GT,green,34,0,4,0,2,12,0
IE,green,8538,470,1001,407,155,4616,182
KN,green,16,4,3,2,1,12,0
LS,green,14,0,2,0,0,6,0
MZ,green,106,5,11,8,2,59,1
NC,green,100,10,14,5,6,52,3
NE,green,39,0,5,2,0,16,0
NL,green,37414,2990,5352,2556,1098,22225,789
NO,green,12908,1055,1898,978,267,7005,196
PA,green,109,23,38,23,2,78,9
PG,green,29,3,7,3,6,19,2
RE,green,28,1,5,3,0,18,2
RO,green,2353,54,175,46,5,964,15
SB,green,7,1,1,0,2,3,0
SL,green,10,3,5,4,3,8,3
TL,green,2,0,0,0,0,1,0
TM,green,1,0,0,0,0,0,0
UA,green,2521,97,136,22,3,1253,28
UZ,green,180,4,8,1,2,97,1
VN,green,1096,44,94,31,13,465,11
ZA,green,10006,603,1235,447,230,4301,209
ZM,green,131,14,14,10,7,89,4

