type,timediff,n_items
open,-1927,1
open,-1714,1
open,-1651,1
open,-1535,1
open,-1487,1
open,-1386,1
open,-1151,1
open,-767,1
open,-714,1
open,-618,1
open,-502,3
open,-483,1
open,-475,1
open,-462,1
open,-448,1
open,-433,3
open,-390,1
open,-372,1
open,-324,1
open,-314,1
open,-277,1
open,-240,1
open,-237,1
open,-231,23
open,-216,1
open,-208,1
open,-186,1
open,-133,1
open,-120,1
open,-118,1
open,-115,2
open,-109,1
open,-89,1
open,-81,1
open,-70,14
open,-64,2
open,-62,4
open,-59,8
open,-56,1
open,-54,3
open,-44,1
open,-41,2
open,-33,2
open,-25,4
open,-22,3
open,-12,8
open,-9,1
open,-3,8
open,-1,2
open,12,2
open,31,21
open,36,4
open,73,4
open,74,7
open,79,3
open,87,4
open,95,4
open,100,5
open,103,7
open,110,14
open,111,8
open,113,6
open,119,4
open,124,6
open,134,13
open,137,13
open,143,11
open,145,7
open,153,30
open,155,9
open,166,7
open,172,3
open,187,10
open,193,11
open,195,10
open,214,27
open,224,8
open,225,4
open,227,6
open,243,22
open,254,8
open,261,9
open,267,8
open,269,7
open,270,6
open,277,5
open,278,5
open,285,10
open,296,19
open,299,5
open,312,9
open,315,5
open,333,6
open,338,7
open,354,13
open,357,4
open,359,5
open,370,7
open,378,3
open,389,2
open,391,5
open,394,10
open,405,6
open,407,3
open,412,6
open,415,2
open,426,13
open,436,5
open,437,4
open,444,2
open,452,2
open,455,10
open,457,2
open,460,3
open,465,5
open,468,1
open,473,2
open,479,4
open,481,5
open,482,4
open,487,4
open,510,1
open,511,2
open,519,2
open,542,3
open,547,8
open,548,2
open,553,2
open,563,2
open,580,6
open,582,1
closed,-3500,1
closed,-3010,1
closed,-2355,1
closed,-1556,1
closed,-1441,1
closed,-822,1
closed,-626,1
closed,-425,2
closed,-350,1
closed,-242,1
closed,-213,1
closed,-184,2
closed,-167,1
closed,-131,1
closed,-115,2
closed,-107,1
closed,-91,4
closed,-67,1
closed,-59,1
closed,-53,1
closed,-40,4
closed,-38,3
closed,-35,1
closed,-25,1
closed,-24,3
closed,-8,1
closed,-6,2
closed,15,1
closed,21,1
closed,26,5
closed,32,4
closed,34,1
closed,53,3
closed,61,18
closed,63,3
closed,66,3
closed,71,6
closed,79,2
