country,type,n_items,n_blog,n_facebook,n_news,n_policy,n_twitter,n_wikipedia
TO,closed,4,0,0,0,2,1,0
TR,open,42426,386,1807,389,147,8083,223
TR,closed,93801,634,3904,685,442,18638,320
TT,open,195,8,23,4,6,92,5
TT,closed,470,9,27,8,6,129,1
TW,open,43557,1058,3995,1383,248,17681,504
TW,closed,96665,946,4182,1118,432,18805,377
TZ,open,1337,96,279,103,67,1109,31
TZ,closed,862,30,101,19,30,382,7
UA,open,4156,138,227,60,6,1787,52
UA,closed,14541,51,283,48,6,1303,101
UG,open,1715,138,353,140,110,1417,37
UG,closed,852,49,101,35,34,427,12
US,open,880524,99416,169331,110775,24200,567551,31131
US,closed,1067535,59009,131024,64985,19001,476626,18781
UY,open,1182,49,146,51,13,587,34
UY,closed,2317,49,171,47,18,785,43
UZ,open,245,7,15,3,3,148,2
UZ,closed,892,1,15,0,6,78,2
VA,open,9,4,8,6,0,15,1
VA,closed,9,0,1,0,0,4,1
VC,open,1,0,0,0,0,0,0
VC,closed,6,0,0,0,0,3,0
VE,open,808,36,104,30,6,391,13
VE,closed,1670,23,90,21,6,481,35
VN,open,3205,139,332,104,62,1445,47
VN,closed,7542,114,304,62,49,1313,50
VU,open,8,1,3,0,0,6,0
VU,closed,33,6,3,1,3,8,2
WS,open,3,0,0,0,1,1,0
WS,closed,14,1,3,0,2,8,0
YE,open,147,5,17,4,6,74,3
YE,closed,354,12,28,2,2,91,2
ZA,open,21398,1459,3291,1194,582,10622,542
ZA,closed,27961,1613,2509,719,336,10051,451
ZM,open,400,27,77,25,28,349,9
ZM,closed,256,15,34,11,16,141,2
ZW,open,430,27,71,36,23,281,4
ZW,closed,760,33,64,21,24,293,8

