country,classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
PK,Biomedical and health sciences,closed,3619,42,233,65,29,956,34
PT,Biomedical and health sciences,closed,10865,213,1438,356,84,4305,86
SE,Biomedical and health sciences,closed,22470,933,2917,1321,408,10974,304
SG,Biomedical and health sciences,closed,9069,344,959,498,90,4119,94
TN,Biomedical and health sciences,closed,3797,38,217,42,12,910,15
VA,Biomedical and health sciences,closed,3,0,1,0,0,2,1
VE,Biomedical and health sciences,closed,461,7,38,10,3,182,10
WS,Biomedical and health sciences,closed,4,0,0,0,0,2,0
YE,Biomedical and health sciences,closed,114,10,11,1,1,46,0
ZA,Biomedical and health sciences,closed,6835,239,677,217,114,2850,98
AM,Life and earth sciences,closed,103,4,7,1,0,23,2
AO,Life and earth sciences,closed,23,0,2,1,0,7,0
AZ,Life and earth sciences,closed,127,1,4,0,1,14,1
AL,Biomedical and health sciences,closed,94,3,5,3,1,29,1
AM,Biomedical and health sciences,closed,168,1,7,3,1,36,1
AZ,Biomedical and health sciences,closed,71,1,2,0,0,12,1
BD,Biomedical and health sciences,closed,784,17,72,23,26,272,12
BF,Biomedical and health sciences,closed,154,2,8,2,3,34,1
BJ,Biomedical and health sciences,closed,126,2,7,0,2,38,3
BS,Biomedical and health sciences,closed,11,0,2,0,0,2,0
CH,Biomedical and health sciences,closed,21249,841,2771,1129,350,10316,337
CO,Biomedical and health sciences,closed,2281,40,238,65,21,1007,31
CU,Biomedical and health sciences,closed,534,5,27,10,6,229,5
ET,Biomedical and health sciences,closed,526,17,30,17,14,195,6
GL,Biomedical and health sciences,closed,14,2,3,2,0,6,1
GP,Biomedical and health sciences,closed,92,2,5,1,1,22,0
HN,Biomedical and health sciences,closed,10,0,2,0,1,4,0
HR,Biomedical and health sciences,closed,2589,27,170,45,18,794,24
HU,Biomedical and health sciences,closed,4946,69,306,102,33,1565,57
LB,Biomedical and health sciences,closed,1589,27,150,27,24,680,17
MA,Biomedical and health sciences,closed,1467,6,61,16,10,235,10
ME,Biomedical and health sciences,closed,84,2,2,0,0,20,0
NE,Biomedical and health sciences,closed,35,0,3,0,1,5,0
NO,Biomedical and health sciences,closed,9783,454,1460,734,214,4990,128
NZ,Biomedical and health sciences,closed,10147,449,1420,535,281,5343,202
PA,Biomedical and health sciences,closed,77,5,16,5,3,40,1
PY,Biomedical and health sciences,closed,57,1,10,1,2,29,1
RO,Biomedical and health sciences,closed,3069,31,179,40,33,775,15
SC,Biomedical and health sciences,closed,1,0,0,0,0,0,0
SM,Biomedical and health sciences,closed,5,1,1,0,0,4,0
SV,Biomedical and health sciences,closed,18,2,2,3,1,11,2
TH,Biomedical and health sciences,closed,7694,105,667,170,104,2504,66
TJ,Biomedical and health sciences,closed,8,0,0,0,0,3,0
TT,Biomedical and health sciences,closed,134,4,9,3,1,45,1
UY,Biomedical and health sciences,closed,793,16,56,21,8,295,10
AT,Life and earth sciences,closed,4281,199,342,167,64,1354,114
BG,Life and earth sciences,closed,892,13,34,8,2,153,11
CK,Life and earth sciences,closed,6,0,0,0,0,2,0
DO,Life and earth sciences,closed,30,1,3,0,0,11,0
DZ,Life and earth sciences,closed,1872,14,65,10,3,285,14
AN,Biomedical and health sciences,closed,11,2,4,1,0,8,1
AR,Biomedical and health sciences,closed,7251,106,564,131,42,2552,59
BH,Biomedical and health sciences,closed,123,3,10,3,3,47,3
CG,Biomedical and health sciences,closed,37,2,3,1,1,13,1
CR,Biomedical and health sciences,closed,243,6,27,6,9,102,6
DZ,Biomedical and health sciences,closed,1085,3,44,10,3,214,2
EC,Biomedical and health sciences,closed,333,11,47,9,3,172,6
GF,Biomedical and health sciences,closed,34,2,3,3,0,17,1
GH,Biomedical and health sciences,closed,467,6,34,9,9,177,3
GT,Biomedical and health sciences,closed,43,1,7,0,2,19,0
GY,Biomedical and health sciences,closed,14,2,1,0,0,6,1
IR,Biomedical and health sciences,closed,24282,349,1554,506,117,7403,162
JM,Biomedical and health sciences,closed,207,4,13,3,3,54,2
KP,Biomedical and health sciences,closed,9,0,0,0,0,3,0
KY,Biomedical and health sciences,closed,4,0,0,1,0,1,0
MG,Biomedical and health sciences,closed,59,1,2,1,2,14,0
NA,Biomedical and health sciences,closed,32,0,2,1,1,13,1
PG,Biomedical and health sciences,closed,40,1,5,1,6,25,1
PW,Biomedical and health sciences,closed,1,0,1,0,0,1,0
RE,Biomedical and health sciences,closed,28,3,2,1,1,9,0
RW,Biomedical and health sciences,closed,102,3,10,5,5,54,1
SD,Biomedical and health sciences,closed,243,3,14,3,3,63,4
SI,Biomedical and health sciences,closed,2285,36,148,38,26,769,28
SL,Biomedical and health sciences,closed,16,0,3,1,1,7,1
SO,Biomedical and health sciences,closed,5,0,1,0,0,4,0
SR,Biomedical and health sciences,closed,18,1,3,2,0,7,0
SY,Biomedical and health sciences,closed,174,2,14,1,3,42,3
VC,Biomedical and health sciences,closed,3,0,0,0,0,1,0
AD,Life and earth sciences,closed,8,0,0,0,0,2,0
AF,Life and earth sciences,closed,18,0,1,1,1,6,0
AL,Life and earth sciences,closed,55,2,1,0,0,11,0
BO,Life and earth sciences,closed,161,11,20,5,2,68,4
CD,Life and earth sciences,closed,132,4,18,2,4,57,3
CI,Life and earth sciences,closed,208,2,11,3,0,52,1
CM,Life and earth sciences,closed,663,15,21,3,4,164,3
CN,Life and earth sciences,closed,187997,3575,5246,2858,546,37339,2050
CR,Life and earth sciences,closed,423,19,63,15,5,168,8
US,Biomedical and health sciences,closed,444230,23372,74466,31755,8619,246033,7115
BA,Life and earth sciences,closed,99,1,6,2,1,24,3
BB,Life and earth sciences,closed,35,2,3,1,5,11,0
BE,Life and earth sciences,closed,8730,316,653,235,145,3337,208
BH,Life and earth sciences,closed,37,0,0,0,1,5,0
BW,Life and earth sciences,closed,198,9,31,6,5,79,0
BZ,Life and earth sciences,closed,9,1,3,0,0,5,1
CL,Life and earth sciences,closed,4145,147,300,84,46,1344,112
CO,Life and earth sciences,closed,2295,78,214,38,18,811,60
CU,Life and earth sciences,closed,477,12,36,10,6,159,9
CV,Life and earth sciences,closed,11,1,2,2,0,4,1
FK,Life and earth sciences,closed,18,2,7,0,0,14,0
FM,Life and earth sciences,closed,6,0,0,0,0,1,0
FR,Life and earth sciences,closed,30225,1253,2232,842,376,10765,719
GB,Life and earth sciences,closed,24830,2056,3162,1620,925,11903,1038
GE,Life and earth sciences,closed,175,4,11,2,1,35,8
HN,Life and earth sciences,closed,20,1,5,0,1,4,0
IT,Life and earth sciences,closed,31848,954,2081,679,374,8916,489
KG,Life and earth sciences,closed,48,2,2,0,0,11,0
KH,Life and earth sciences,closed,76,3,9,2,0,31,2
KW,Life and earth sciences,closed,307,4,10,3,3,91,2
MA,Life and earth sciences,closed,1145,19,57,8,8,211,24
MG,Life and earth sciences,closed,170,12,24,6,2,62,13
MV,Life and earth sciences,closed,25,2,11,2,0,10,0
PL,Life and earth sciences,closed,12196,198,696,135,41,2748,238
PT,Life and earth sciences,closed,8641,260,1039,142,101,2815,118
TH,Life and earth sciences,closed,5577,102,296,59,60,1258,112
TW,Life and earth sciences,closed,9197,176,472,146,68,2240,104
VA,Life and earth sciences,closed,2,0,0,0,0,1,0
VE,Life and earth sciences,closed,449,12,30,6,2,137,17
VN,Life and earth sciences,closed,1792,74,116,21,18,449,30
WS,Life and earth sciences,closed,8,0,1,0,1,1,0
AT,Mathematics and computer science,closed,2130,17,47,26,6,276,10
BH,Mathematics and computer science,closed,31,0,1,0,0,4,0
CA,Mathematics and computer science,closed,14785,58,230,69,38,1239,67
CL,Mathematics and computer science,closed,1296,3,20,5,4,158,10
CM,Mathematics and computer science,closed,359,0,3,0,0,23,0
AD,Biomedical and health sciences,closed,5,0,0,0,0,2,0
AE,Biomedical and health sciences,closed,1110,17,98,28,11,457,15
AF,Biomedical and health sciences,closed,30,0,3,1,2,14,0
BE,Biomedical and health sciences,closed,20010,618,2382,735,311,9651,312
BN,Biomedical and health sciences,closed,53,1,4,1,1,16,0
BZ,Biomedical and health sciences,closed,3,0,1,0,0,1,0
CD,Biomedical and health sciences,closed,145,4,19,3,4,65,2
CF,Biomedical and health sciences,closed,7,0,1,0,0,3,0
CI,Biomedical and health sciences,closed,186,2,5,2,1,35,1
CL,Biomedical and health sciences,closed,3924,86,374,116,32,1636,27
DK,Biomedical and health sciences,closed,18878,783,2762,1131,398,9840,251
DM,Biomedical and health sciences,closed,10,1,2,0,0,5,1
FJ,Biomedical and health sciences,closed,43,2,5,1,3,15,1
GN,Biomedical and health sciences,closed,23,1,1,2,1,8,0
ID,Biomedical and health sciences,closed,963,11,69,15,14,331,11
IL,Biomedical and health sciences,closed,17766,670,2253,829,228,8577,268
IT,Biomedical and health sciences,closed,83761,1842,8201,2914,1021,35889,891
KH,Biomedical and health sciences,closed,69,2,7,3,1,33,0
LI,Biomedical and health sciences,closed,57,2,5,1,0,21,2
LK,Biomedical and health sciences,closed,480,9,39,14,15,186,6
MM,Biomedical and health sciences,closed,49,2,3,3,1,23,1
MR,Biomedical and health sciences,closed,15,0,0,0,0,4,0
MT,Biomedical and health sciences,closed,327,7,31,10,2,119,5
MU,Biomedical and health sciences,closed,59,2,3,2,1,22,3
MX,Biomedical and health sciences,closed,9928,142,689,193,54,3365,92
PF,Biomedical and health sciences,closed,21,2,2,2,1,5,0
PS,Biomedical and health sciences,closed,64,1,4,1,0,26,0
SB,Biomedical and health sciences,closed,5,0,2,0,0,1,0
SZ,Biomedical and health sciences,closed,14,1,0,1,1,5,1
TG,Biomedical and health sciences,closed,57,0,3,0,2,12,0
TM,Biomedical and health sciences,closed,1,0,0,0,0,0,0
TR,Biomedical and health sciences,closed,40016,350,2613,434,292,11729,137
TW,Biomedical and health sciences,closed,26465,406,2489,642,234,9879,137
UZ,Biomedical and health sciences,closed,89,0,2,0,1,10,1
VU,Biomedical and health sciences,closed,7,0,1,0,0,1,1
ZW,Biomedical and health sciences,closed,149,2,9,4,1,54,0
AE,Life and earth sciences,closed,649,13,40,13,9,169,12
GH,Life and earth sciences,closed,542,5,27,6,5,142,6
GR,Life and earth sciences,closed,6180,130,312,69,73,1515,69
HR,Life and earth sciences,closed,1606,26,64,18,15,361,19
HT,Life and earth sciences,closed,9,0,1,1,1,3,0
ID,Life and earth sciences,closed,1226,51,104,25,29,334,22
IL,Life and earth sciences,closed,4997,245,416,185,46,1730,101
JM,Life and earth sciences,closed,85,6,10,2,3,24,1
KE,Life and earth sciences,closed,1039,65,109,42,31,408,18
KP,Life and earth sciences,closed,18,0,0,0,0,1,0
KY,Life and earth sciences,closed,1,0,0,0,0,0,0
LA,Life and earth sciences,closed,61,6,7,2,1,20,3
LR,Life and earth sciences,closed,5,0,0,1,1,2,0
MM,Life and earth sciences,closed,86,9,9,8,1,30,0
MR,Life and earth sciences,closed,21,1,1,0,0,8,0
NI,Life and earth sciences,closed,22,2,2,2,0,6,1
NL,Life and earth sciences,closed,10203,496,983,410,461,4141,237
PA,Life and earth sciences,closed,377,40,61,43,2,202,19
PW,Life and earth sciences,closed,12,2,3,2,3,8,0
QA,Life and earth sciences,closed,229,4,16,3,3,73,2
RU,Life and earth sciences,closed,24436,285,449,268,21,2329,637
SB,Life and earth sciences,closed,6,0,0,0,0,2,0
SD,Life and earth sciences,closed,247,3,11,2,3,46,2
SE,Life and earth sciences,closed,8046,486,798,335,147,3362,264
SS,Life and earth sciences,closed,3,0,0,0,0,2,0
TJ,Life and earth sciences,closed,31,1,2,1,0,6,1
UA,Life and earth sciences,closed,1246,11,102,6,2,259,55
VU,Life and earth sciences,closed,23,4,2,1,1,4,2
YE,Life and earth sciences,closed,114,1,7,1,1,20,1
ZM,Life and earth sciences,closed,116,7,17,6,5,54,2
BA,Mathematics and computer science,closed,115,0,0,0,0,8,0
BB,Mathematics and computer science,closed,7,1,0,1,0,1,0
BJ,Mathematics and computer science,closed,16,0,1,0,0,3,0
BS,Mathematics and computer science,closed,3,0,0,0,0,0,0
CI,Mathematics and computer science,closed,10,0,0,0,0,1,0
CN,Mathematics and computer science,closed,149316,96,778,174,61,5075,160
CO,Mathematics and computer science,closed,858,3,8,2,1,90,4
CR,Mathematics and computer science,closed,36,0,2,0,0,5,0
AU,Life and earth sciences,closed,34972,2162,4071,2073,1158,14355,997
BD,Life and earth sciences,closed,1182,22,78,20,22,314,11
BF,Life and earth sciences,closed,195,3,9,1,2,48,1
BQ,Life and earth sciences,closed,1,0,1,0,0,1,0
BR,Life and earth sciences,closed,36298,852,2901,585,186,10249,627
BS,Life and earth sciences,closed,41,1,16,1,1,31,2
BY,Life and earth sciences,closed,228,1,5,0,0,22,2
CY,Life and earth sciences,closed,383,7,31,7,14,93,6
ER,Life and earth sciences,closed,23,0,2,1,0,6,0
GN,Life and earth sciences,closed,23,2,2,2,1,8,0
GQ,Life and earth sciences,closed,2,0,1,0,0,2,0
JO,Life and earth sciences,closed,660,10,35,9,5,118,5
KR,Life and earth sciences,closed,23337,376,782,265,133,5016,322
LB,Life and earth sciences,closed,488,10,18,4,8,124,11
LI,Life and earth sciences,closed,1,1,1,1,0,1,0
LY,Life and earth sciences,closed,106,3,15,3,0,35,3
MK,Life and earth sciences,closed,123,1,4,1,2,20,1
MT,Life and earth sciences,closed,97,5,9,6,1,27,3
MX,Life and earth sciences,closed,10792,264,783,139,52,3168,182
NA,Life and earth sciences,closed,109,8,19,4,3,45,2
NE,Life and earth sciences,closed,59,1,4,0,2,13,0
SK,Life and earth sciences,closed,1721,35,69,25,4,425,39
SO,Life and earth sciences,closed,2,0,0,0,0,1,0
TC,Life and earth sciences,closed,2,0,1,0,0,2,0
BI,Mathematics and computer science,closed,3,0,0,0,0,0,0
BO,Mathematics and computer science,closed,15,0,0,0,0,1,0
BT,Mathematics and computer science,closed,1,0,0,0,0,0,0
CD,Mathematics and computer science,closed,2,0,0,0,0,0,0
CF,Mathematics and computer science,closed,3,0,0,0,0,0,0
EE,Mathematics and computer science,closed,209,0,6,0,0,20,2
GR,Mathematics and computer science,closed,3597,9,72,14,8,337,18
IS,Mathematics and computer science,closed,95,0,1,0,1,5,0
KG,Mathematics and computer science,closed,17,0,0,0,0,1,0
LK,Mathematics and computer science,closed,48,0,1,0,1,6,0
LS,Mathematics and computer science,closed,5,0,2,0,0,0,0
NE,Mathematics and computer science,closed,5,0,0,0,0,1,0
PK,Mathematics and computer science,closed,3142,1,41,4,1,148,8
BJ,Life and earth sciences,closed,277,7,24,2,4,78,5
CA,Life and earth sciences,closed,35633,1659,3953,1307,497,14349,760
CG,Life and earth sciences,closed,50,4,2,1,1,15,1
CH,Life and earth sciences,closed,8737,577,884,434,170,3732,237
CW,Life and earth sciences,closed,3,0,1,0,0,3,0
DE,Life and earth sciences,closed,40061,2113,3426,1806,449,14239,1207
