country,classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
DO,Biomedical and health sciences,gold,6,0,1,0,0,3,1
EE,Biomedical and health sciences,gold,376,23,49,18,2,225,9
ES,Biomedical and health sciences,gold,16806,887,3224,1374,118,11048,265
FI,Biomedical and health sciences,gold,3322,278,691,343,37,2400,57
GE,Biomedical and health sciences,gold,53,1,9,2,1,38,0
GM,Biomedical and health sciences,gold,85,6,12,5,3,68,1
HT,Biomedical and health sciences,gold,13,0,5,1,2,10,1
JP,Biomedical and health sciences,gold,29790,1338,3871,1615,109,17445,402
KG,Biomedical and health sciences,gold,17,0,2,0,1,11,1
KW,Biomedical and health sciences,gold,345,12,36,7,5,165,4
LA,Biomedical and health sciences,gold,58,3,10,2,2,44,2
LU,Biomedical and health sciences,gold,227,23,49,25,2,183,4
MC,Biomedical and health sciences,gold,8,0,1,0,0,4,0
MD,Biomedical and health sciences,gold,6,0,1,0,0,3,0
ML,Biomedical and health sciences,gold,54,3,13,4,4,44,2
MN,Biomedical and health sciences,gold,29,1,4,1,0,22,0
MV,Biomedical and health sciences,gold,1,1,0,0,0,1,0
NC,Biomedical and health sciences,gold,24,1,4,2,1,17,0
PL,Biomedical and health sciences,gold,10972,163,1223,226,34,4170,103
QA,Biomedical and health sciences,gold,387,22,67,23,7,268,5
RS,Biomedical and health sciences,gold,3040,20,81,19,14,344,11
SA,Biomedical and health sciences,gold,3519,99,323,98,28,1601,33
TO,Biomedical and health sciences,gold,1,0,0,0,0,1,0
TZ,Biomedical and health sciences,gold,596,30,93,31,21,413,5
UA,Biomedical and health sciences,gold,217,7,21,9,1,84,3
UG,Biomedical and health sciences,gold,655,37,114,38,32,481,11
VN,Biomedical and health sciences,gold,508,27,77,28,12,316,6
ZM,Biomedical and health sciences,gold,154,8,26,6,6,110,2
AN,Life and earth sciences,gold,9,1,5,0,0,8,0
AR,Life and earth sciences,gold,2474,124,364,64,16,949,112
AU,Life and earth sciences,gold,7888,1264,1962,1159,266,5880,405
AG,Biomedical and health sciences,gold,3,0,0,0,1,3,0
AI,Biomedical and health sciences,gold,1,0,0,0,0,1,0
AO,Biomedical and health sciences,gold,26,1,4,2,1,18,0
AU,Biomedical and health sciences,gold,16941,1495,3908,1911,537,12993,413
AW,Biomedical and health sciences,gold,1,0,0,0,0,0,0
BB,Biomedical and health sciences,gold,19,0,5,3,1,17,0
BT,Biomedical and health sciences,gold,18,2,3,2,2,15,0
BY,Biomedical and health sciences,gold,21,1,2,0,0,13,0
CA,Biomedical and health sciences,gold,19216,1520,3772,1675,273,13776,463
CZ,Biomedical and health sciences,gold,2279,81,271,81,6,1279,56
DE,Biomedical and health sciences,gold,33979,2098,5212,2834,247,22829,653
DJ,Biomedical and health sciences,gold,3,0,0,0,0,2,0
ER,Biomedical and health sciences,gold,10,2,1,1,0,7,0
FR,Biomedical and health sciences,gold,16948,952,2837,1402,144,12191,361
GB,Biomedical and health sciences,gold,32649,3893,7683,4108,921,26937,939
GD,Biomedical and health sciences,gold,14,0,2,1,0,10,0
IE,Biomedical and health sciences,gold,1956,169,385,170,25,1507,44
IN,Biomedical and health sciences,gold,12844,350,1411,526,198,5522,262
JO,Biomedical and health sciences,gold,350,7,29,8,3,128,1
LC,Biomedical and health sciences,gold,2,0,0,1,0,0,0
LS,Biomedical and health sciences,gold,8,0,2,0,1,6,1
LY,Biomedical and health sciences,gold,58,1,20,2,1,39,1
MW,Biomedical and health sciences,gold,253,16,30,12,11,154,1
MY,Biomedical and health sciences,gold,3423,106,412,140,27,1623,57
NG,Biomedical and health sciences,gold,944,33,113,26,12,463,13
OM,Biomedical and health sciences,gold,110,3,16,6,3,49,2
PE,Biomedical and health sciences,gold,250,12,66,20,10,174,3
PH,Biomedical and health sciences,gold,150,11,22,5,7,88,2
RU,Biomedical and health sciences,gold,2258,108,251,199,6,1292,53
SK,Biomedical and health sciences,gold,468,10,49,20,1,201,7
SN,Biomedical and health sciences,gold,132,8,25,9,4,88,6
SS,Biomedical and health sciences,gold,3,0,0,0,0,2,0
TC,Biomedical and health sciences,gold,1,0,0,0,0,0,0
TD,Biomedical and health sciences,gold,7,1,1,1,0,6,0
TL,Biomedical and health sciences,gold,1,0,0,0,0,1,0
US,Biomedical and health sciences,gold,108994,11144,22162,12710,1317,80137,3125
BA,Life and earth sciences,gold,59,1,4,1,1,10,2
AL,Biomedical and health sciences,gold,33,0,3,0,0,9,0
AM,Biomedical and health sciences,gold,44,0,5,1,0,25,1
AZ,Biomedical and health sciences,gold,10,1,2,0,0,6,0
BD,Biomedical and health sciences,gold,616,29,88,29,23,393,16
BF,Biomedical and health sciences,gold,150,11,22,6,6,98,1
BJ,Biomedical and health sciences,gold,104,5,16,6,3,66,1
BS,Biomedical and health sciences,gold,3,0,1,0,0,2,0
CH,Biomedical and health sciences,gold,8876,666,1620,738,147,6390,203
CO,Biomedical and health sciences,gold,1206,44,183,40,6,593,13
CU,Biomedical and health sciences,gold,185,6,21,5,3,95,3
ET,Biomedical and health sciences,gold,1306,100,177,34,16,814,12
GL,Biomedical and health sciences,gold,25,2,1,2,0,10,0
GP,Biomedical and health sciences,gold,41,1,6,2,1,21,0
GQ,Biomedical and health sciences,gold,1,0,0,0,0,1,0
HN,Biomedical and health sciences,gold,17,0,3,1,0,12,0
HR,Biomedical and health sciences,gold,997,27,61,29,4,299,7
HU,Biomedical and health sciences,gold,1784,59,240,94,5,1020,33
KM,Biomedical and health sciences,gold,1,0,0,0,0,1,0
LB,Biomedical and health sciences,gold,501,23,78,24,12,314,9
MA,Biomedical and health sciences,gold,365,11,41,6,3,179,3
ME,Biomedical and health sciences,gold,94,1,4,2,0,8,3
NE,Biomedical and health sciences,gold,21,0,2,2,1,12,0
NO,Biomedical and health sciences,gold,4869,405,1029,466,68,3428,84
NZ,Biomedical and health sciences,gold,1810,160,445,225,52,1364,44
PA,Biomedical and health sciences,gold,71,5,16,10,1,51,0
PY,Biomedical and health sciences,gold,21,1,0,2,1,4,0
RO,Biomedical and health sciences,gold,1335,24,144,32,4,492,11
SC,Biomedical and health sciences,gold,1,1,0,1,1,1,0
SM,Biomedical and health sciences,gold,2,0,0,0,0,2,0
SV,Biomedical and health sciences,gold,8,1,2,1,0,3,0
TH,Biomedical and health sciences,gold,2542,75,314,81,78,1272,26
TJ,Biomedical and health sciences,gold,4,0,1,0,0,4,0
TT,Biomedical and health sciences,gold,42,2,6,1,0,24,1
UY,Biomedical and health sciences,gold,240,5,23,4,1,128,6
AT,Life and earth sciences,gold,1891,212,356,228,25,1258,91
BG,Life and earth sciences,gold,208,9,24,6,0,65,8
DO,Life and earth sciences,gold,12,0,0,1,0,5,0
AT,Biomedical and health sciences,gold,3954,268,685,400,21,2572,99
BI,Biomedical and health sciences,gold,7,2,1,1,0,5,0
BO,Biomedical and health sciences,gold,28,4,8,3,2,15,1
BR,Biomedical and health sciences,gold,34068,605,3562,732,159,11197,246
BW,Biomedical and health sciences,gold,71,3,17,5,2,48,0
CN,Biomedical and health sciences,gold,112016,2578,8802,3545,426,52683,970
EG,Biomedical and health sciences,gold,2158,53,218,66,17,927,19
GA,Biomedical and health sciences,gold,74,4,17,7,3,54,4
GR,Biomedical and health sciences,gold,2303,94,291,97,23,1223,37
GW,Biomedical and health sciences,gold,24,0,3,0,0,19,1
IQ,Biomedical and health sciences,gold,200,7,21,13,1,103,2
IS,Biomedical and health sciences,gold,233,16,55,26,2,139,3
KE,Biomedical and health sciences,gold,720,55,124,66,54,532,9
KN,Biomedical and health sciences,gold,15,2,3,2,1,10,0
KR,Biomedical and health sciences,gold,21795,462,2065,857,96,10139,204
KZ,Biomedical and health sciences,gold,102,3,11,3,1,47,2
LR,Biomedical and health sciences,gold,10,2,3,4,2,8,1
LT,Biomedical and health sciences,gold,725,16,64,17,2,309,6
LV,Biomedical and health sciences,gold,120,3,14,3,1,49,1
MK,Biomedical and health sciences,gold,109,1,5,4,0,25,1
MZ,Biomedical and health sciences,gold,133,7,25,15,3,98,3
NI,Biomedical and health sciences,gold,16,0,5,1,1,11,0
NL,Biomedical and health sciences,gold,14315,915,2728,984,379,10520,267
NP,Biomedical and health sciences,gold,495,29,66,18,19,188,4
PK,Biomedical and health sciences,gold,2009,37,181,51,21,731,18
PT,Biomedical and health sciences,gold,3907,140,649,174,15,2030,54
SE,Biomedical and health sciences,gold,9958,650,1940,900,135,6838,189
SG,Biomedical and health sciences,gold,2986,241,468,330,19,1961,72
TN,Biomedical and health sciences,gold,574,9,76,19,3,261,14
VA,Biomedical and health sciences,gold,1,0,1,0,0,1,0
VE,Biomedical and health sciences,gold,124,7,15,5,1,59,1
YE,Biomedical and health sciences,gold,54,1,7,1,3,24,0
ZA,Biomedical and health sciences,gold,3920,170,595,195,101,2061,58
AM,Life and earth sciences,gold,17,1,2,3,0,8,1
AO,Life and earth sciences,gold,18,0,5,2,1,12,0
AZ,Life and earth sciences,gold,16,0,1,0,0,2,0
BJ,Life and earth sciences,gold,124,8,17,6,4,78,3
BD,Life and earth sciences,gold,460,14,51,17,18,239,11
BF,Life and earth sciences,gold,123,9,19,7,6,84,1
BR,Life and earth sciences,gold,27373,603,2811,457,61,6232,420
BS,Life and earth sciences,gold,8,1,5,1,0,8,0
BY,Life and earth sciences,gold,20,2,6,2,0,8,2
CY,Life and earth sciences,gold,108,8,15,5,1,64,3
ER,Life and earth sciences,gold,7,1,1,1,0,4,0
GN,Life and earth sciences,gold,13,2,4,4,3,11,1
GQ,Life and earth sciences,gold,1,0,0,0,0,1,0
JO,Life and earth sciences,gold,100,2,4,2,1,36,0
KR,Life and earth sciences,gold,5464,191,466,162,22,2481,88
LB,Life and earth sciences,gold,132,6,23,10,2,84,4
LI,Life and earth sciences,gold,1,0,0,1,0,1,0
LY,Life and earth sciences,gold,27,1,4,1,1,12,0
MK,Life and earth sciences,gold,36,0,0,0,0,2,1
MT,Life and earth sciences,gold,29,2,3,2,0,9,1
MX,Life and earth sciences,gold,4380,150,495,85,24,1550,105
NA,Life and earth sciences,gold,36,2,8,3,1,18,0
NE,Life and earth sciences,gold,18,0,2,1,1,10,1
SK,Life and earth sciences,gold,434,13,30,11,2,111,7
TC,Life and earth sciences,gold,2,0,1,0,0,1,0
EE,Mathematics and computer science,gold,78,0,2,0,1,8,1
GR,Mathematics and computer science,gold,220,1,16,7,0,63,2
IS,Mathematics and computer science,gold,9,0,1,0,0,4,0
KG,Mathematics and computer science,gold,3,0,0,0,0,1,0
LK,Mathematics and computer science,gold,16,0,0,1,0,4,0
LS,Mathematics and computer science,gold,1,0,1,0,0,0,0
NE,Mathematics and computer science,gold,1,0,0,0,0,0,0
PK,Mathematics and computer science,gold,984,1,18,1,1,123,5
SA,Mathematics and computer science,gold,1203,4,32,5,0,99,0
SG,Mathematics and computer science,gold,169,4,10,4,0,56,4
SZ,Mathematics and computer science,gold,2,0,0,0,0,1,0
TD,Mathematics and computer science,gold,1,0,0,0,0,1,0
TR,Mathematics and computer science,gold,1454,0,62,2,1,148,3
TT,Mathematics and computer science,gold,1,0,0,0,0,1,0
VN,Mathematics and computer science,gold,182,0,1,0,0,12,0
YE,Mathematics and computer science,gold,17,0,0,0,0,3,0
BM,Life and earth sciences,gold,15,7,5,3,0,10,1
BN,Life and earth sciences,gold,13,1,2,1,1,9,1
BT,Life and earth sciences,gold,22,1,5,2,2,15,2
CF,Life and earth sciences,gold,21,1,4,1,1,16,0
DJ,Life and earth sciences,gold,4,0,0,0,0,3,0
EG,Life and earth sciences,gold,1075,45,90,29,7,418,15
FJ,Life and earth sciences,gold,16,0,4,2,1,10,0
GD,Life and earth sciences,gold,5,0,0,0,0,3,0
GF,Life and earth sciences,gold,51,5,10,2,1,38,1
GI,Life and earth sciences,gold,2,1,2,1,0,2,0
GM,Life and earth sciences,gold,44,4,5,2,2,33,1
GY,Life and earth sciences,gold,6,1,0,1,0,4,1
IE,Life and earth sciences,gold,742,98,135,71,14,544,44
IR,Life and earth sciences,gold,1884,24,128,31,7,545,30
KM,Life and earth sciences,gold,4,0,0,0,0,1,0
KN,Life and earth sciences,gold,12,0,2,1,1,8,0
KZ,Life and earth sciences,gold,59,2,6,1,1,28,2
LC,Life and earth sciences,gold,1,0,0,0,0,0,0
LS,Life and earth sciences,gold,10,0,2,0,1,5,0
MD,Life and earth sciences,gold,7,1,2,0,0,3,0
NG,Life and earth sciences,gold,601,20,54,13,6,266,6
OM,Life and earth sciences,gold,79,6,9,4,2,39,1
PE,Life and earth sciences,gold,251,28,83,24,11,161,7
PF,Life and earth sciences,gold,39,6,10,4,5,28,4
PS,Life and earth sciences,gold,23,1,5,1,0,12,1
RE,Life and earth sciences,gold,20,3,3,3,0,19,1
RS,Life and earth sciences,gold,1229,10,34,6,4,119,3
RW,Life and earth sciences,gold,58,2,7,4,4,38,1
SI,Life and earth sciences,gold,383,15,35,10,1,168,11
SL,Life and earth sciences,gold,19,2,5,4,1,14,2
SN,Life and earth sciences,gold,167,9,29,9,5,118,7
SZ,Life and earth sciences,gold,11,1,3,1,0,9,0
TD,Life and earth sciences,gold,7,1,0,1,0,6,0
UY,Life and earth sciences,gold,237,13,31,8,2,110,10
ZA,Life and earth sciences,gold,3287,329,729,237,81,1839,137
AU,Mathematics and computer science,gold,579,24,58,33,7,240,10
BD,Mathematics and computer science,gold,79,1,1,1,0,18,0
DJ,Mathematics and computer science,gold,1,0,0,0,0,1,0
BB,Life and earth sciences,gold,7,0,2,1,1,7,0
BE,Life and earth sciences,gold,2616,261,449,170,46,1810,137
BH,Life and earth sciences,gold,5,0,0,0,0,2,0
BW,Life and earth sciences,gold,75,6,24,8,3,47,1
BZ,Life and earth sciences,gold,7,1,5,2,0,7,0
CL,Life and earth sciences,gold,2472,84,249,69,8,834,64
CO,Life and earth sciences,gold,1257,59,193,33,10,494,26
CU,Life and earth sciences,gold,124,4,11,3,1,44,6
CV,Life and earth sciences,gold,6,0,1,0,0,3,0
FM,Life and earth sciences,gold,1,0,0,0,0,0,0
FR,Life and earth sciences,gold,9415,965,1438,800,142,6330,403
GB,Life and earth sciences,gold,11626,2277,3045,1976,464,9317,684
GE,Life and earth sciences,gold,41,3,10,2,1,31,0
HN,Life and earth sciences,gold,14,0,2,0,0,5,0
IT,Life and earth sciences,gold,8046,620,1143,472,113,4344,248
KG,Life and earth sciences,gold,12,0,1,0,1,3,0
KH,Life and earth sciences,gold,79,6,15,8,4,68,1
KW,Life and earth sciences,gold,69,4,5,5,1,38,0
MA,Life and earth sciences,gold,233,12,26,7,3,112,4
MG,Life and earth sciences,gold,74,7,19,8,1,61,5
MV,Life and earth sciences,gold,4,1,1,1,0,3,0
PL,Life and earth sciences,gold,3942,113,443,81,11,1431,96
PT,Life and earth sciences,gold,2083,144,440,116,22,1230,67
TH,Life and earth sciences,gold,1427,64,201,46,44,718,39
TW,Life and earth sciences,gold,3515,127,393,120,15,1643,54
VA,Life and earth sciences,gold,1,0,1,0,0,1,0
VE,Life and earth sciences,gold,186,7,27,4,1,67,4
VN,Life and earth sciences,gold,467,38,70,19,8,274,15
AT,Mathematics and computer science,gold,205,6,21,10,1,101,2
CA,Mathematics and computer science,gold,723,20,42,19,7,239,13
CL,Mathematics and computer science,gold,201,2,7,4,1,57,0
CM,Mathematics and computer science,gold,14,0,0,0,0,4,0
CZ,Mathematics and computer science,gold,387,5,13,5,0,66,3
DE,Mathematics and computer science,gold,1205,60,116,67,4,621,15
DO,Mathematics and computer science,gold,2,0,0,0,0,0,0
FR,Mathematics and computer science,gold,900,9,50,25,1,349,5
GH,Mathematics and computer science,gold,15,0,1,0,0,3,0
DZ,Life and earth sciences,gold,210,5,20,6,1,81,8
GH,Life and earth sciences,gold,296,12,46,12,9,196,8
GR,Life and earth sciences,gold,1106,53,130,24,25,506,25
HR,Life and earth sciences,gold,521,16,36,16,2,129,9
HT,Life and earth sciences,gold,13,0,5,1,2,9,1
ID,Life and earth sciences,gold,377,35,56,27,17,204,14
IL,Life and earth sciences,gold,1288,148,210,117,6,888,51
JM,Life and earth sciences,gold,24,1,3,1,0,8,0
KE,Life and earth sciences,gold,629,58,111,63,45,464,15
KP,Life and earth sciences,gold,3,0,0,0,0,1,0
LA,Life and earth sciences,gold,51,4,8,3,2,39,1
LR,Life and earth sciences,gold,9,2,3,4,2,7,1
MM,Life and earth sciences,gold,72,5,18,4,4,58,2
MR,Life and earth sciences,gold,11,0,1,0,0,8,1
NI,Life and earth sciences,gold,12,0,3,1,1,7,0
NL,Life and earth sciences,gold,4363,504,763,338,251,3009,160
PA,Life and earth sciences,gold,173,39,64,29,2,139,13
PW,Life and earth sciences,gold,2,1,1,1,0,2,0
QA,Life and earth sciences,gold,73,3,15,2,2,49,2
RU,Life and earth sciences,gold,1649,139,264,125,8,877,94
SB,Life and earth sciences,gold,9,1,2,1,2,7,0
SD,Life and earth sciences,gold,120,4,13,4,5,60,2
SE,Life and earth sciences,gold,3370,406,625,363,82,2315,157
SS,Life and earth sciences,gold,2,0,0,0,0,1,0
TJ,Life and earth sciences,gold,5,0,1,0,0,3,0
UA,Life and earth sciences,gold,156,4,21,5,0,52,9
VU,Life and earth sciences,gold,3,1,3,0,0,3,0
YE,Life and earth sciences,gold,26,0,3,1,1,14,0
ZM,Life and earth sciences,gold,117,5,25,5,4,89,1
BA,Mathematics and computer science,gold,54,0,0,0,0,8,0
BJ,Mathematics and computer science,gold,3,0,0,0,0,0,0
CI,Mathematics and computer science,gold,3,0,0,0,0,1,0
CN,Mathematics and computer science,gold,31118,43,455,93,14,2909,34
CO,Mathematics and computer science,gold,160,1,4,0,0,30,0
CR,Mathematics and computer science,gold,3,0,0,0,0,1,0
DZ,Mathematics and computer science,gold,161,0,0,0,0,8,0
EC,Mathematics and computer science,gold,38,0,1,0,0,13,0
CA,Life and earth sciences,gold,7695,963,1587,732,118,5377,342
CG,Life and earth sciences,gold,13,0,3,1,0,9,0
CH,Life and earth sciences,gold,3945,514,726,428,93,2797,159
CW,Life and earth sciences,gold,3,1,3,2,0,3,0
DE,Life and earth sciences,gold,13941,1811,2329,1434,181,9054,632
EE,Life and earth sciences,gold,392,31,63,15,1,147,25
GL,Life and earth sciences,gold,22,5,10,6,0,16,3
GP,Life and earth sciences,gold,36,1,6,3,1,31,2
GT,Life and earth sciences,gold,27,2,7,3,1,16,3
HU,Life and earth sciences,gold,723,55,114,46,3,378,27
LK,Life and earth sciences,gold,216,16,29,15,13,131,9
LT,Life and earth sciences,gold,352,7,15,4,1,67,4
LV,Life and earth sciences,gold,85,1,3,1,1,22,2
MC,Life and earth sciences,gold,34,12,3,4,0,27,2
MH,Life and earth sciences,gold,1,0,1,0,0,1,0
ML,Life and earth sciences,gold,46,5,7,4,3,37,1
MY,Life and earth sciences,gold,1943,87,233,69,15,885,44
NP,Life and earth sciences,gold,209,16,56,22,8,125,10
NZ,Life and earth sciences,gold,1285,163,256,132,36,908,83
PH,Life and earth sciences,gold,261,25,54,19,7,150,16
PY,Life and earth sciences,gold,27,3,9,1,1,11,0
SA,Life and earth sciences,gold,1392,81,154,73,23,669,31
SG,Life and earth sciences,gold,845,99,159,113,13,593,30
SM,Life and earth sciences,gold,1,0,0,0,0,0,0
SR,Life and earth sciences,gold,6,0,0,1,0,4,1
SV,Life and earth sciences,gold,8,0,2,1,0,1,0
TL,Life and earth sciences,gold,2,0,0,0,0,1,0
TN,Life and earth sciences,gold,465,12,30,7,4,168,16
TR,Life and earth sciences,gold,1767,32,119,28,8,424,18
TT,Life and earth sciences,gold,35,5,6,2,1,16,0
US,Life and earth sciences,gold,44807,7212,10251,6127,969,32443,2198
ZW,Life and earth sciences,gold,115,5,25,10,5,68,1
AE,Mathematics and computer science,gold,69,0,0,0,0,11,0
AZ,Mathematics and computer science,gold,53,0,2,0,0,3,0
BF,Mathematics and computer science,gold,7,0,1,0,0,1,0
BN,Mathematics and computer science,gold,3,0,0,0,0,0,0
BR,Mathematics and computer science,gold,877,8,43,11,2,176,3
CH,Mathematics and computer science,gold,191,10,26,13,2,111,5
DM,Life and earth sciences,gold,1,0,0,0,0,0,1
EC,Life and earth sciences,gold,325,43,95,35,3,192,17
ES,Life and earth sciences,gold,8469,681,1528,711,95,5024,310
ET,Life and earth sciences,gold,772,46,90,19,16,488,11
FI,Life and earth sciences,gold,1888,192,308,126,26,1132,44
GA,Life and earth sciences,gold,68,6,16,5,3,50,4
GW,Life and earth sciences,gold,23,0,2,0,0,19,2
IN,Life and earth sciences,gold,6037,304,724,314,111,3074,174
IQ,Life and earth sciences,gold,111,2,10,3,0,48,0
IS,Life and earth sciences,gold,128,10,25,5,1,75,5
JP,Life and earth sciences,gold,7617,625,1169,462,50,4670,247
LU,Life and earth sciences,gold,112,11,14,8,1,68,5
ME,Life and earth sciences,gold,43,1,0,2,0,2,2
MN,Life and earth sciences,gold,25,3,7,4,1,20,1
MU,Life and earth sciences,gold,19,3,4,2,0,11,3
MW,Life and earth sciences,gold,125,8,19,6,4,88,1
MZ,Life and earth sciences,gold,109,3,20,13,1,72,3
NC,Life and earth sciences,gold,86,18,20,8,9,68,1
NO,Life and earth sciences,gold,2179,299,419,224,48,1445,72
PG,Life and earth sciences,gold,34,4,6,3,3,29,1
PK,Life and earth sciences,gold,1300,30,117,23,15,494,10
RO,Life and earth sciences,gold,534,24,78,28,1,202,17
SC,Life and earth sciences,gold,8,1,5,3,1,7,0
SY,Life and earth sciences,gold,41,1,2,1,1,13,1
TG,Life and earth sciences,gold,20,1,5,2,0,13,0
TZ,Life and earth sciences,gold,387,18,65,25,15,275,7
UG,Life and earth sciences,gold,431,34,85,32,19,326,9
UZ,Life and earth sciences,gold,21,0,0,0,0,14,0
AL,Mathematics and computer science,gold,9,0,0,0,0,0,0
AM,Mathematics and computer science,gold,10,0,1,0,0,6,0
AO,Mathematics and computer science,gold,1,0,0,0,0,1,0
AR,Mathematics and computer science,gold,81,0,4,0,0,24,1
BE,Mathematics and computer science,gold,379,11,31,13,4,201,4
BG,Mathematics and computer science,gold,60,0,2,0,0,5,0
BW,Mathematics and computer science,gold,16,0,0,0,0,2,0
BY,Mathematics and computer science,gold,7,0,0,0,0,0,0
CU,Mathematics and computer science,gold,34,0,0,0,0,4,0
ZA,Mathematics and computer science,gold,456,6,16,3,1,72,3
AF,Physical sciences and engineering,gold,2,0,0,0,0,0,0
AT,Physical sciences and engineering,gold,1283,94,138,129,3,743,26
BH,Physical sciences and engineering,gold,8,0,0,0,0,3,0
CL,Physical sciences and engineering,gold,1055,20,62,14,2,419,6
DK,Physical sciences and engineering,gold,1126,82,144,89,14,687,21
DO,Physical sciences and engineering,gold,2,0,0,0,0,2,0
DZ,Physical sciences and engineering,gold,514,0,14,1,0,79,0
GE,Physical sciences and engineering,gold,38,3,7,0,0,25,1
GM,Physical sciences and engineering,gold,1,0,0,0,0,0,0
HT,Physical sciences and engineering,gold,1,0,1,0,0,0,0
ID,Physical sciences and engineering,gold,189,2,5,2,1,44,0
IL,Physical sciences and engineering,gold,1201,90,160,69,0,797,24
KE,Physical sciences and engineering,gold,45,1,3,1,1,21,0
ME,Physical sciences and engineering,gold,49,0,1,0,0,1,0
MY,Physical sciences and engineering,gold,3040,23,97,22,4,670,14
PL,Physical sciences and engineering,gold,5227,40,216,43,4,1213,50
RE,Physical sciences and engineering,gold,3,0,0,1,0,2,0
RO,Physical sciences and engineering,gold,928,12,40,7,0,261,3
SK,Physical sciences and engineering,gold,401,5,8,1,2,93,3
SN,Physical sciences and engineering,gold,44,0,1,0,0,8,0
SR,Physical sciences and engineering,gold,1,0,0,1,0,0,0
SZ,Physical sciences and engineering,gold,2,0,0,0,0,0,0
TJ,Physical sciences and engineering,gold,2,0,0,0,0,0,0
AF,Social sciences and humanities,gold,5,0,0,0,0,3,0
AM,Social sciences and humanities,gold,8,0,2,1,0,5,0
AO,Social sciences and humanities,gold,9,1,3,1,0,5,0
AT,Social sciences and humanities,gold,604,89,139,90,27,408,15
BF,Social sciences and humanities,gold,42,2,5,1,2,27,0
BG,Social sciences and humanities,gold,21,2,0,0,0,7,0
BW,Social sciences and humanities,gold,30,3,7,3,1,19,1
BY,Social sciences and humanities,gold,1,0,0,0,0,0,0
CA,Social sciences and humanities,gold,3564,423,958,369,152,2798,79
CG,Social sciences and humanities,gold,13,1,3,1,2,12,0
CM,Social sciences and humanities,gold,51,2,7,1,1,28,0
CO,Social sciences and humanities,gold,402,20,56,15,4,156,3
DK,Social sciences and humanities,gold,804,92,206,83,21,577,13
DK,Mathematics and computer science,gold,156,1,10,2,1,66,3
EG,Mathematics and computer science,gold,479,0,12,1,0,62,1
GT,Mathematics and computer science,gold,1,1,0,0,0,1,0
IE,Mathematics and computer science,gold,69,1,3,3,0,28,1
JP,Mathematics and computer science,gold,1050,21,75,30,1,378,6
KW,Mathematics and computer science,gold,26,1,0,2,0,5,0
KZ,Mathematics and computer science,gold,42,0,1,1,0,5,0
LT,Mathematics and computer science,gold,92,0,4,0,0,13,0
LV,Mathematics and computer science,gold,9,0,0,0,1,2,0
MK,Mathematics and computer science,gold,25,0,1,1,0,3,0
MT,Mathematics and computer science,gold,2,0,0,0,0,0,0
NP,Mathematics and computer science,gold,4,0,0,0,0,2,0
PH,Mathematics and computer science,gold,10,2,2,1,0,3,1
PS,Mathematics and computer science,gold,8,0,0,0,0,2,0
RS,Mathematics and computer science,gold,456,0,4,0,0,32,1
SE,Mathematics and computer science,gold,274,8,25,12,2,112,6
TM,Mathematics and computer science,gold,17,0,2,0,0,0,0
UZ,Mathematics and computer science,gold,14,0,0,0,0,0,0
BN,Physical sciences and engineering,gold,25,1,2,1,0,9,1
BO,Physical sciences and engineering,gold,5,0,0,0,0,3,0
BR,Physical sciences and engineering,gold,8299,62,752,89,5,1611,32
CD,Physical sciences and engineering,gold,7,0,3,0,0,4,0
CI,Physical sciences and engineering,gold,21,1,0,0,0,4,0
CO,Physical sciences and engineering,gold,613,9,34,3,1,158,4
EE,Physical sciences and engineering,gold,194,6,18,5,0,64,1
ET,Physical sciences and engineering,gold,95,2,4,0,1,19,0
FI,Physical sciences and engineering,gold,915,53,89,72,5,485,15
GA,Physical sciences and engineering,gold,6,0,0,0,0,4,0
GN,Physical sciences and engineering,gold,1,0,0,0,0,1,0
IQ,Physical sciences and engineering,gold,347,1,14,4,0,78,1
IS,Physical sciences and engineering,gold,46,4,4,0,0,21,1
JP,Physical sciences and engineering,gold,10405,507,996,570,10,5207,111
KG,Physical sciences and engineering,gold,5,0,1,1,0,3,0
KH,Physical sciences and engineering,gold,3,0,0,0,0,1,0
KW,Physical sciences and engineering,gold,124,3,1,3,0,29,1
LB,Physical sciences and engineering,gold,68,0,3,3,0,27,0
HR,Mathematics and computer science,gold,253,0,3,1,0,18,0
ID,Mathematics and computer science,gold,40,0,2,0,0,8,1
IQ,Mathematics and computer science,gold,92,0,1,1,0,17,0
IT,Mathematics and computer science,gold,1358,14,79,21,5,441,10
JM,Mathematics and computer science,gold,2,0,0,0,0,0,0
JO,Mathematics and computer science,gold,154,0,3,0,0,13,0
KP,Mathematics and computer science,gold,6,0,0,0,0,0,0
LB,Mathematics and computer science,gold,45,2,2,2,0,6,0
MM,Mathematics and computer science,gold,1,0,0,0,0,0,0
NI,Mathematics and computer science,gold,1,0,0,0,0,0,0
NL,Mathematics and computer science,gold,347,9,40,11,7,198,9
NO,Mathematics and computer science,gold,152,5,12,7,2,61,1
PE,Mathematics and computer science,gold,16,0,3,0,0,3,0
QA,Mathematics and computer science,gold,61,0,1,0,0,12,0
RO,Mathematics and computer science,gold,470,1,10,2,0,53,1
RU,Mathematics and computer science,gold,323,3,13,7,0,138,5
SD,Mathematics and computer science,gold,16,0,0,0,0,5,0
SK,Mathematics and computer science,gold,184,0,0,0,0,16,1
