year,closed,open,gold,hybrid,bronze,green
2012,821302,443380,111515,56041,130663,206680
2013,864866,490769,140845,62061,129108,221011
2014,885536,523288,164333,69815,122980,233089
2015,897023,558311,180644,84981,119245,247756
2016,915004,597891,198315,100564,112182,265131
2017,954743,606677,236299,99387,110158,280563
2018,1091940,562761,277205,99660,67738,263241

