year,indicator,counts,n_items
2017,news,20,360
2017,news,21,340
2015,news,22,201
2013,news,23,82
2015,news,23,176
2018,news,23,224
2018,news,24,210
2016,news,26,232
2017,news,26,188
2012,news,27,18
2012,news,28,11
2015,news,28,74
2017,news,28,159
2015,news,29,97
2017,news,29,146
2015,news,30,81
2018,news,32,114
2014,news,34,47
2012,news,35,12
2017,news,35,103
2015,news,36,62
2012,news,37,10
2013,news,38,18
2013,news,40,28
2018,news,40,67
2013,news,41,15
2016,news,42,75
2014,news,43,32
2016,news,43,86
2012,news,44,15
2014,news,44,40
2014,news,45,29
2015,news,45,43
2017,news,45,75
2012,news,46,14
2012,news,47,21
2013,news,47,14
2018,news,47,74
2015,news,48,21
2016,news,48,69
2013,news,50,16
2014,news,50,25
2016,news,50,63
2017,news,51,105
2014,news,53,20
2015,news,53,20
2013,news,55,19
2018,news,55,67
2013,news,56,12
2015,news,56,21
2018,news,57,55
2013,news,58,11
2012,news,61,7
2017,news,61,56
2012,news,62,1
2017,news,63,50
2013,news,64,8
2018,news,64,48
2015,news,65,14
2016,news,65,60
2013,news,66,8
2018,news,66,27
2016,news,67,40
2014,news,68,11
2017,news,68,45
2012,news,69,3
2017,news,69,34
2015,news,70,11
2017,news,70,42
2017,news,71,31
2012,news,72,3
2013,news,72,4
2015,news,72,5
2016,news,73,37
2018,news,73,20
2013,news,75,2
2014,news,76,8
2014,news,77,4
2015,news,79,10
2017,news,79,34
2013,news,81,1
2018,news,81,27
2016,news,84,33
2017,news,84,19
2012,news,85,1
2014,news,85,6
2016,news,85,25
2017,news,85,23
2015,news,87,6
2015,news,88,6
2018,news,88,17
2013,news,89,3
2013,news,90,1
2015,news,90,5
2013,news,91,4
2016,news,91,28
2017,news,93,13
2015,news,95,5
2017,news,95,17
2015,news,96,1
2015,news,98,5
2016,news,101,11
2017,news,101,8
2014,news,103,2
2017,news,104,13
2012,news,105,2
2015,news,105,1
2018,news,105,7
2016,news,106,7
2013,news,107,2
2014,news,108,3
2016,news,109,10
2017,news,110,10
2012,news,111,2
2014,news,112,6
2015,news,113,2
2015,news,114,5
2013,news,115,2
2016,news,115,13
2018,news,116,8
2014,news,117,1
2016,news,117,16
2016,news,118,8
2017,news,118,10
2015,news,122,4
2014,news,126,1
2015,news,129,6
2018,news,129,3
2018,news,130,3
2013,news,131,1
2018,news,132,4
2016,news,134,15
2017,news,135,10
2014,news,136,1
2018,news,138,4
2013,news,142,1
2014,news,142,2
2016,news,142,4
2016,news,143,5
2017,news,143,6
2017,news,145,3
2015,news,146,1
2013,news,148,1
2013,news,156,1
2015,news,156,1
2016,news,159,1
2016,news,160,6
2017,news,163,2
2018,news,163,1
2015,news,164,2
2018,news,164,3
2016,news,166,5
2014,news,167,1
2015,news,170,1
2015,news,172,1
2018,news,173,1
2016,news,176,2
2017,news,178,2
2016,news,182,2
2013,news,183,1
2017,news,185,3
2015,news,187,2
2017,news,187,3
2018,news,189,1
2013,news,190,1
2016,news,190,2
2016,news,192,2
2016,news,193,3
2018,news,196,1
2013,news,198,1
2016,news,198,1
2018,news,198,3
2016,news,199,2
2018,news,199,4
2016,news,202,2
2017,news,203,2
2015,news,205,1
2017,news,205,2
2018,news,205,1
2018,news,206,5
2015,news,207,1
2018,news,207,1
2016,news,210,2
2014,news,211,1
2016,news,216,3
2016,news,217,1
2016,news,218,3
2018,news,222,1
2018,news,232,1
2014,news,237,1
2016,news,241,1
2018,news,241,1
2017,news,243,2
2017,news,244,1
2015,news,245,1
2015,news,246,1
2017,news,246,1
2016,news,251,3
2017,news,254,1
2017,news,262,1
2018,news,263,1
2017,news,271,2
2017,news,272,1
2018,news,272,2
2018,news,275,1
2013,news,317,1
2016,news,317,1
2017,news,322,2
2018,news,338,1
2016,news,351,1
2017,news,352,1
2016,news,360,1
2017,news,363,1
2014,news,371,1
2018,news,373,1
2015,news,412,1
2017,news,412,1
2017,news,422,1
2018,news,424,1
2016,news,425,1
2016,news,449,1
2018,news,475,1
2017,news,527,1
2018,news,607,1
2016,news,611,1
2016,news,9785,1
2012,news,0,1251090
2017,news,0,1500861
2018,news,0,1611755
2015,news,1,32781
2013,news,2,7200
2018,news,2,8303
2013,news,3,3923
2013,news,4,2627
2016,news,5,2955
2017,news,6,2906
2014,news,7,1743
2015,news,7,1803
2017,news,7,2476
2017,news,8,2033
2018,news,8,1986
2012,news,9,307
2015,news,9,1260
2012,news,14,111
2014,news,14,425
2017,news,14,823
2012,news,15,87
2012,news,16,70
2014,news,16,303
2015,news,16,358
2015,news,17,314
2015,news,18,270
2016,news,19,422
2013,news,20,123
2016,news,20,361
2018,news,20,322
2013,news,21,104
2017,news,22,276
2012,news,23,35
2014,news,23,119
2017,news,23,273
2012,news,25,24
2015,news,25,145
2017,news,25,221
2015,news,26,124
2013,news,27,44
2013,news,28,49
2016,news,28,162
2013,news,29,41
2016,news,29,185
2012,news,31,20
2017,news,31,142
2015,news,32,79
2018,news,33,89
2018,news,34,94
2013,news,35,34
2018,news,35,96
2016,news,37,93
2017,news,40,87
2014,news,41,44
2015,news,41,48
2015,news,42,50
2017,news,42,93
2013,news,43,16
2018,news,43,61
2015,news,44,33
2016,news,44,92
2018,news,44,93
2016,news,45,76
2014,news,47,28
2016,news,47,70
2017,news,47,82
2012,news,48,13
2014,news,48,25
2017,news,49,91
2015,news,50,35
2013,news,51,10
2015,news,51,21
2013,news,52,17
2015,news,52,27
2018,news,53,76
2013,news,54,15
2014,news,57,22
2012,news,58,4
2017,news,58,70
2013,news,59,10
2018,news,61,46
2013,news,62,10
2018,news,62,41
2013,news,63,4
2018,news,68,41
2018,news,69,32
2014,news,71,15
2016,news,71,34
2012,news,74,3
2017,news,74,31
2012,news,76,3
2013,news,76,6
2015,news,77,9
2013,news,79,2
2016,news,79,24
2014,news,80,1
2014,news,81,5
2015,news,82,9
2018,news,83,22
2013,news,86,2
2016,news,86,15
2018,news,86,15
2018,news,87,18
2016,news,88,29
2014,news,89,9
2012,news,90,1
2014,news,90,3
2017,news,90,20
2014,news,91,4
2015,news,93,4
2018,news,94,11
2013,news,96,1
2016,news,96,14
2016,news,97,23
2017,news,97,30
2017,news,98,12
2014,news,99,1
2013,news,101,2
2016,news,103,15
2016,news,104,18
2014,news,105,3
2016,news,105,15
2012,news,106,1
2017,news,107,10
2017,news,108,10
2017,news,109,14
2013,news,110,3
2018,news,111,12
2013,news,112,2
2013,news,113,2
2014,news,114,2
2016,news,114,8
2012,news,115,1
2012,news,116,1
2015,news,117,2
2018,news,117,10
2018,news,118,3
2015,news,119,3
2016,news,119,10
2018,news,119,6
2018,news,120,5
2013,news,121,1
2017,news,122,4
2014,news,123,2
2015,news,124,1
2017,news,124,9
2017,news,125,9
2018,news,125,9
2018,news,126,2
2016,news,127,5
2018,news,127,3
2016,news,129,8
2017,news,130,3
2017,news,131,4
2017,news,133,6
2018,news,134,7
2018,news,135,4
2013,news,136,1
2016,news,136,5
2013,news,138,1
2016,news,138,5
2017,news,139,9
2015,news,142,2
2017,news,142,5
2018,news,142,7
2016,news,145,7
2018,news,145,2
2016,news,146,8
2017,news,148,6
2014,news,149,2
2013,news,151,1
2016,news,152,5
2016,news,154,7
2016,news,155,4
2017,news,156,8
2017,news,157,5
2016,news,162,6
2014,news,163,2
2017,news,164,4
2017,news,165,2
2016,news,169,1
2018,news,170,2
2016,news,171,3
2016,news,172,3
2017,news,172,2
2017,news,173,2
2018,news,175,2
2016,news,177,1
2013,news,178,2
2016,news,179,6
2018,news,179,1
2014,news,180,1
2016,news,180,3
2014,news,181,2
2017,news,181,3
2017,news,182,2
2015,news,184,1
2018,news,187,3
2016,news,189,3
2013,news,193,1
2018,news,194,2
2016,news,197,3
2017,news,197,2
2014,news,199,1
2015,news,199,1
2018,news,201,2
2015,news,202,1
2016,news,203,2
2016,news,204,3
2014,news,205,1
2017,news,207,1
2015,news,210,1
2016,news,213,2
2018,news,218,4
2016,news,231,2
2018,news,234,2
2016,news,237,2
2016,news,238,2
2017,news,241,1
2012,news,243,1
2017,news,247,2
2017,news,248,1
2012,news,252,1
2015,news,252,1
2018,news,252,2
2015,news,260,1
2018,news,261,2
2016,news,348,1
2018,news,354,1
2015,news,358,1
2017,news,358,1
2018,news,378,1
2018,news,384,1
2017,news,391,1
2017,news,398,2
2017,news,415,1
2016,news,439,1
2016,news,454,1
2016,news,456,1
2017,news,466,1
2018,news,479,1
2017,news,507,2
2017,news,524,2
2016,news,588,1
2017,news,791,1
2014,news,246,1
2016,news,247,1
2012,news,249,1
2017,news,250,1
2016,news,253,2
2016,news,256,1
2017,news,258,3
2017,news,259,1
2017,news,264,1
2017,news,274,1
2016,news,278,1
2017,news,283,1
2018,news,285,1
2016,news,287,1
2018,news,287,4
2017,news,292,1
2016,news,295,1
2016,news,297,1
2018,news,303,1
2016,news,305,1
2017,news,308,1
2015,news,310,1
2017,news,315,1
2017,news,325,1
2015,news,328,1
2016,news,328,1
2016,news,329,1
2016,news,331,2
2017,news,332,2
2017,news,333,1
2018,news,337,1
2017,news,351,1
2016,news,355,1
2016,news,356,2
2018,news,362,1
2018,news,369,2
2013,news,370,1
2016,news,373,1
2016,news,386,1
2014,news,391,1
2017,news,407,1
2017,news,426,1
2017,news,440,1
2017,news,441,1
2015,news,467,1
2018,news,468,1
2016,news,490,1
2016,news,505,1
2016,news,564,1
2016,news,773,1
2015,news,821,1
2014,news,293,1
2016,news,302,1
2017,news,304,2
2017,news,313,1
2017,news,318,1
2015,news,321,1
2017,news,335,1
2016,news,340,1
2018,news,347,1
2018,news,348,1
2014,news,351,1
2014,news,359,1
2016,news,359,1
2017,news,360,1
2017,news,369,1
2017,news,371,1
2016,news,374,1
2012,news,378,1
2017,news,388,1
2018,news,390,1
2017,news,403,1
2017,news,413,1
2017,news,414,1
2018,news,441,2
2017,news,453,1
2017,news,486,1
2018,news,531,1
2017,news,555,1
2014,news,601,1
2016,news,693,1
2016,news,728,1
2015,news,1811,1
2016,news,283,1
2017,news,287,1
2018,news,288,1
2016,news,293,1
2018,news,297,1
2015,news,298,1
2017,news,305,1
2015,news,307,1
2016,news,309,1
2017,news,311,1
2018,news,313,1
2016,news,315,1
2018,news,316,1
2016,news,325,2
2015,news,347,1
2016,news,365,1
2017,news,379,1
2018,news,391,1
2016,news,394,1
2017,news,396,1
2013,news,425,1
2018,news,440,1
2017,news,463,1
2018,news,524,1
2012,news,595,1
2016,news,636,1
2016,news,1160,1
2016,news,3048,1
2016,news,269,1
2014,news,275,1
2018,news,278,1
2016,news,280,1
2017,news,281,1
2017,news,282,1
2018,news,295,1
2015,news,311,1
2013,news,313,1
2016,news,313,1
2017,news,317,1
2013,news,318,1
2018,news,318,2
2016,news,321,1
2018,news,321,1
2016,news,323,1
2017,news,324,1
2014,news,347,1
2017,news,350,2
2016,news,353,1
2017,news,359,1
2017,news,374,1
2017,news,424,1
2017,news,431,1
2017,news,432,1
2014,news,489,1
2017,news,543,1
2016,news,555,1
2018,news,562,1
2015,news,609,1
2016,news,639,1
2015,news,759,1
2016,news,1481,1
2016,news,1999,1
2016,policy,0,1512280
2014,policy,2,3692
2014,policy,3,1098
2017,policy,4,85
2015,policy,5,148
2018,policy,5,13
2013,policy,6,143
2015,policy,6,64
2018,policy,6,9
2016,policy,7,39
2017,policy,9,3
2017,policy,10,4
2015,policy,11,15
2017,policy,11,10
2012,policy,13,16
2013,policy,13,12
2013,policy,14,7
2015,policy,14,6
2016,policy,14,1
2018,policy,16,1
2014,policy,20,1
2012,policy,22,2
2013,policy,24,2
2014,policy,25,2
2014,policy,26,1
2014,policy,27,1
2012,policy,29,1
2014,policy,36,1
2017,policy,44,1
2016,policy,59,1
2013,policy,0,1344078
2014,policy,1,18670
2016,policy,1,11924
2012,policy,2,4544
2017,policy,2,1072
2012,policy,3,1439
2012,policy,4,570
2013,policy,7,91
2014,policy,9,31
2012,policy,10,30
2014,policy,10,21
2012,policy,11,28
2012,policy,12,14
2017,policy,12,1
2013,policy,15,6
2016,policy,15,2
2018,policy,15,1
2014,policy,18,3
2016,policy,18,2
2012,policy,20,4
2017,policy,20,1
2015,policy,22,1
2015,policy,23,2
2012,policy,28,1
2015,policy,28,1
2015,policy,30,2
2012,policy,35,1
2013,policy,40,1
2016,policy,43,1
2016,policy,73,1
2012,policy,0,1251358
2017,policy,0,1572142
2018,policy,0,1677572
2015,policy,1,15710
2013,policy,2,4375
2018,policy,2,426
2013,policy,3,1375
2013,policy,4,593
2016,policy,5,83
2017,policy,6,23
2014,policy,7,76
2015,policy,7,44
2017,policy,7,11
2017,policy,8,5
2012,policy,9,37
2015,policy,9,17
2012,policy,14,5
2014,policy,14,14
2017,policy,14,1
2012,policy,15,10
2012,policy,16,5
2014,policy,16,6
2015,policy,16,5
2015,policy,18,1
2013,policy,20,1
2013,policy,21,5
2012,policy,23,1
2017,policy,25,1
2013,policy,28,2
2016,policy,28,1
2013,policy,29,1
2012,policy,31,1
2013,policy,35,1
2016,policy,44,1
2016,policy,96,1
2014,policy,0,1399651
2017,policy,1,7404
2015,policy,3,797
2017,policy,3,249
2015,policy,4,323
2018,policy,4,23
2012,policy,5,285
2013,policy,5,274
2016,policy,6,37
2018,policy,7,5
2013,policy,8,53
2014,policy,8,47
2016,policy,8,10
2016,policy,9,8
2014,policy,11,15
2015,policy,12,11
2015,policy,13,13
2015,policy,15,2
2013,policy,16,7
2013,policy,17,2
2014,policy,17,3
2012,policy,19,1
2014,policy,19,1
2015,policy,21,1
2013,policy,22,2
2016,policy,23,1
2016,policy,24,1
2015,policy,31,1
2013,policy,32,2
2014,policy,33,1
2015,policy,37,1
2012,policy,64,1
2016,policy,90,1
2015,policy,958,1
2015,policy,0,1448860
2018,policy,1,3977
2015,policy,2,2840
2016,policy,2,1974
2016,policy,3,534
2016,policy,4,184
2014,policy,5,226
2017,policy,5,33
2012,policy,6,191
2014,policy,6,148
2012,policy,7,93
2013,policy,9,33
2016,policy,12,8
2016,policy,13,6
2017,policy,13,1
2014,policy,15,8
2017,policy,17,1
2012,policy,18,8
2015,policy,19,2
2016,policy,21,2
2014,policy,24,2
2012,policy,32,2
2012,policy,33,1
2013,policy,37,1
2016,policy,69,1
2013,policy,84,1
2016,policy,95,1
2017,policy,468,1
2012,policy,1,20854
2013,policy,1,20949
2018,policy,3,111
2014,policy,4,456
2012,policy,8,62
2015,policy,8,20
2018,policy,9,1
2013,policy,10,25
2015,policy,10,9
2016,policy,10,8
2013,policy,11,14
2016,policy,11,8
2018,policy,11,1
2013,policy,12,19
2014,policy,12,18
2014,policy,13,9
2017,policy,16,1
2012,policy,17,7
2013,policy,18,9
2014,policy,22,1
2012,policy,24,2
2015,policy,24,1
2012,policy,26,3
2016,policy,27,1
2012,policy,34,1
2013,policy,36,1
2017,policy,41,1
2014,policy,208,1
2014,policy,958,1
2018,twitter,378,7
2017,twitter,314,4
2018,twitter,2608,1
2012,twitter,42,103
2013,twitter,106,26
2017,twitter,669,1
2013,twitter,438,1
2014,twitter,310,3
2018,twitter,664,2
2013,twitter,1242,1
2015,twitter,472,1
2014,twitter,740,1
2015,twitter,163,25
2013,twitter,392,1
2018,twitter,1019,1
2017,twitter,145,59
2018,twitter,209,36
2015,twitter,17,2765
2018,twitter,879,1
2015,twitter,1084,1
2013,twitter,14,2219
2018,twitter,1520,2
2012,twitter,614,1
2015,twitter,1328,1
2016,twitter,112,74
2018,twitter,261,22
2018,twitter,2084,1
2017,twitter,76,227
2017,twitter,174,38
2016,twitter,12,6495
2014,twitter,425,2
2014,twitter,671,1
2018,twitter,384,8
2013,twitter,787,1
2018,twitter,278,17
2017,twitter,214,21
2018,twitter,1758,1
2016,twitter,290,2
2017,twitter,105,124
2018,twitter,169,62
2018,twitter,762,1
2018,twitter,564,4
2018,twitter,232,27
2017,twitter,168,32
2015,twitter,1614,1
2018,twitter,624,3
2018,twitter,132,88
2016,twitter,52,357
2017,twitter,460,4
2016,twitter,1177,1
2016,twitter,396,2
2014,twitter,70,92
2013,twitter,252,5
2012,twitter,90,36
2017,twitter,606,2
2012,twitter,188,4
2014,twitter,657,1
2018,twitter,1652,1
2017,twitter,2375,1
2012,twitter,1859,1
2013,twitter,212,4
2015,twitter,340,4
2014,twitter,2268,1
2014,twitter,276,6
2017,twitter,208,30
2013,twitter,567,1
2014,twitter,631,1
2016,twitter,287,10
2015,twitter,223,9
2017,twitter,182,41
2016,twitter,118,77
2014,twitter,61,146
2018,twitter,344,7
2014,twitter,986,1
2015,twitter,409,2
2016,twitter,473,3
2013,twitter,687,1
2014,twitter,184,13
2017,twitter,394,2
2015,twitter,1007,1
2016,twitter,828,1
2017,twitter,423,7
2017,twitter,417,3
2017,twitter,915,2
2017,twitter,2415,1
2013,twitter,4342,1
2018,twitter,338,12
2013,twitter,753,1
2012,twitter,125,9
2016,twitter,430,3
2017,twitter,494,4
2013,twitter,263,5
2013,twitter,40,273
2018,twitter,52,662
2014,twitter,104,45
2018,twitter,550,4
2014,twitter,282,8
2017,twitter,984,2
2018,twitter,444,8
2017,twitter,1376,1
2012,twitter,368,2
2014,twitter,674,1
2013,twitter,432,2
2018,twitter,942,1
2018,twitter,158,48
2017,twitter,1127,1
2017,twitter,131,64
2017,twitter,2160,2
2017,twitter,1164,3
2015,twitter,901,1
2017,twitter,139,50
2015,twitter,11,6569
2017,twitter,288,13
2018,twitter,1483,1
2013,twitter,77,53
2016,twitter,367,6
2018,twitter,593,2
2014,twitter,239,3
2017,twitter,680,1
2012,twitter,262,1
2017,twitter,39,899
2014,twitter,290,3
2018,twitter,103,186
2017,twitter,629,2
2013,twitter,1357,1
2018,twitter,1234,1
2015,twitter,91,84
2016,twitter,155,31
2013,twitter,295,3
2018,twitter,3461,1
2014,twitter,4,31379
2018,twitter,450,11
2018,twitter,590,1
2014,twitter,737,1
2017,twitter,1336,2
2018,twitter,1400,1
2017,twitter,317,10
2013,twitter,464,1
2018,twitter,1045,1
2014,twitter,528,1
2018,twitter,20,3773
2017,twitter,79,206
2018,twitter,166,53
2017,twitter,102,130
2016,twitter,1366,1
2017,twitter,2,110869
2016,twitter,602,2
2018,twitter,1517,1
2012,twitter,371,3
2012,twitter,225,3
2015,twitter,369,2
2018,twitter,3561,1
2018,twitter,1901,1
2014,twitter,319,4
2012,twitter,342,2
2012,twitter,93,19
2014,twitter,814,1
2017,twitter,2086,1
2016,twitter,92,98
2014,twitter,173,8
2017,twitter,463,6
2018,twitter,1154,1
2016,twitter,1575,1
2017,twitter,952,1
2015,twitter,277,4
2012,twitter,239,4
2016,twitter,341,4
2013,twitter,149,13
2018,twitter,26,2477
2016,twitter,685,2
2014,twitter,906,1
2015,twitter,475,4
2016,twitter,195,13
2015,twitter,131,43
2017,twitter,1098,1
2018,twitter,667,4
2014,twitter,559,3
2012,twitter,1513,1
2016,twitter,49,383
2015,twitter,231,6
2017,twitter,211,22
2014,twitter,167,15
2014,twitter,954,1
2016,twitter,393,4
2018,twitter,129,100
2013,twitter,117,23
2012,twitter,1547,1
2017,twitter,42,856
2012,twitter,196,4
2016,twitter,1140,1
2015,twitter,412,1
2014,twitter,64,128
2017,twitter,277,11
2016,twitter,782,3
2018,twitter,1337,1
2018,twitter,269,17
2018,twitter,982,1
2018,twitter,553,4
2012,twitter,720,1
2015,twitter,343,5
2015,twitter,171,19
2013,twitter,209,8
2013,twitter,286,2
2018,twitter,1051,1
2015,twitter,835,1
2018,twitter,1792,1
2015,twitter,314,1
2018,twitter,653,4
2014,twitter,207,10
2015,twitter,1474,1
2015,twitter,263,10
2017,twitter,640,5
2014,twitter,342,3
2016,twitter,470,5
2017,twitter,534,3
2018,twitter,1082,1
2014,twitter,236,4
2018,twitter,833,1
2015,twitter,1296,1
2015,twitter,300,3
2018,twitter,441,8
2018,twitter,49,743
2018,twitter,547,3
2018,twitter,298,12
2015,twitter,1090,1
2013,twitter,713,1
2018,twitter,796,1
2018,twitter,1303,1
2014,twitter,170,14
2012,twitter,159,5
2018,twitter,948,1
2012,twitter,19,704
2014,twitter,147,23
2018,twitter,5665,1
2013,twitter,83,54
2016,twitter,536,1
2014,twitter,1,184839
2017,twitter,291,15
2015,twitter,65,174
2015,twitter,420,6
2014,twitter,101,44
2016,twitter,158,33
2017,twitter,222,28
2012,twitter,228,2
2016,twitter,751,1
2013,twitter,315,4
2016,twitter,507,2
2016,twitter,181,16
2017,twitter,245,14
2018,twitter,92,210
2017,twitter,28,1707
2017,twitter,99,132
2018,twitter,238,27
2015,twitter,489,1
2012,twitter,474,1
2013,twitter,538,1
2017,twitter,1980,1
2015,twitter,25,1320
2017,twitter,1339,1
2013,twitter,501,1
2018,twitter,418,5
2018,twitter,919,3
2012,twitter,96,19
2018,twitter,1165,1
2017,twitter,1350,1
2013,twitter,146,16
2017,twitter,709,2
2016,twitter,104,73
2016,twitter,436,2
2015,twitter,618,2
2014,twitter,1206,1
2016,twitter,645,1
2015,twitter,1013,1
2015,twitter,2347,1
2015,twitter,88,64
2017,twitter,560,2
2018,twitter,1205,1
2016,twitter,2062,1
2018,twitter,518,5
2018,twitter,1311,1
2017,twitter,454,4
2017,twitter,1247,1
2013,twitter,6,11499
2015,twitter,134,36
2018,twitter,670,4
2018,twitter,1257,1
2017,twitter,12013,1
2017,twitter,849,1
2018,twitter,1011,1
2017,twitter,2521,2
2018,twitter,1506,1
2013,twitter,152,16
2015,twitter,526,1
2012,twitter,236,4
2013,twitter,398,1
2017,twitter,1834,1
2013,twitter,544,1
2018,twitter,1718,1
2013,twitter,46,193
2016,twitter,144,36
2013,twitter,1563,1
2018,twitter,272,23
2015,twitter,54,271
2017,twitter,351,4
2014,twitter,396,3
2016,twitter,1114,1
2012,twitter,291,2
2017,twitter,992,2
2015,twitter,483,1
2018,twitter,601,1
2015,twitter,266,9
2012,twitter,50,85
2018,twitter,630,2
2016,twitter,573,1
2016,twitter,2986,1
2018,twitter,956,1
2018,twitter,481,5
2017,twitter,251,28
2018,twitter,315,16
2018,twitter,487,4
2017,twitter,274,14
2016,twitter,210,23
2013,twitter,189,10
2015,twitter,366,4
2017,twitter,1207,1
2012,twitter,617,1
2015,twitter,97,51
2014,twitter,531,3
2018,twitter,1048,1
2017,twitter,735,2
2018,twitter,799,1
2016,twitter,459,2
2018,twitter,587,3
2012,twitter,1089,1
2016,twitter,708,2
2018,twitter,2508,1
2016,twitter,2033,1
2018,twitter,836,1
2016,twitter,1063,1
2012,twitter,156,3
2014,twitter,247,7
2013,twitter,220,1
2012,twitter,119,27
2018,twitter,195,32
2016,twitter,75,163
2017,twitter,388,5
2015,twitter,260,11
2017,twitter,1562,2
2013,twitter,2782,1
2013,twitter,369,2
2018,twitter,1377,1
2015,twitter,160,27
2018,twitter,985,2
2014,twitter,41,346
2018,twitter,4139,1
2016,twitter,716,2
2012,twitter,411,1
2012,twitter,13,1541
2017,twitter,431,1
2014,twitter,488,1
2013,twitter,226,3
2017,twitter,812,1
2017,twitter,171,29
2017,twitter,526,4
2018,twitter,95,187
2018,twitter,2396,1
2016,twitter,510,2
2017,twitter,2332,1
2017,twitter,672,1
2017,twitter,2973,1
2018,twitter,707,2
2017,twitter,643,1
2015,twitter,1256,1
2016,twitter,679,2
2016,twitter,894,1
2015,twitter,1156,1
2013,twitter,1145,1
2013,twitter,1809,1
2017,twitter,25,2185
2014,twitter,1309,1
2018,twitter,89,201
2014,twitter,1902,1
2018,twitter,1663,1
2015,twitter,120,55
2016,twitter,184,24
2018,twitter,312,22
2016,twitter,1389,1
2018,twitter,730,2
2015,twitter,661,1
2018,twitter,4202,1
2015,twitter,523,3
2013,twitter,395,2
2018,twitter,2780,1
2017,twitter,497,6
2018,twitter,2436,1
2018,twitter,561,1
2015,twitter,878,1
2015,twitter,237,7
2014,twitter,1587,1
2012,twitter,477,2
2017,twitter,62,379
2017,twitter,311,10
2012,twitter,133,9
2018,twitter,126,112
2018,twitter,375,7
2015,twitter,918,1
2014,twitter,605,1
2014,twitter,854,1
2014,twitter,213,3
2017,twitter,749,1
2013,twitter,1483,2
2013,twitter,3,37427
2016,twitter,293,5
2012,twitter,185,1
2014,twitter,2234,1
2018,twitter,521,4
2014,twitter,1052,1
2016,twitter,639,1
2016,twitter,1,205123
2015,twitter,910,2
2016,twitter,642,2
2016,twitter,476,3
2018,twitter,12,8898
2013,twitter,329,5
2018,twitter,341,15
2017,twitter,846,5
2018,twitter,2997,1
2016,twitter,619,2
2017,twitter,944,1
2012,twitter,265,3
2014,twitter,38,373
2017,twitter,328,8
2017,twitter,205,35
2014,twitter,279,4
2014,twitter,107,36
2012,twitter,222,2
2016,twitter,407,2
2015,twitter,1617,1
2014,twitter,250,5
2015,twitter,486,1
2013,twitter,358,1
2018,twitter,1858,1
2016,twitter,1048,1
2017,twitter,348,5
2018,twitter,584,3
2018,twitter,484,5
2016,twitter,258,4
2015,twitter,194,16
2014,twitter,130,25
2017,twitter,420,2
2015,twitter,14,4094
2016,twitter,78,157
2017,twitter,818,2
2014,twitter,199,9
2016,twitter,250,8
2016,twitter,653,2
2013,twitter,223,5
2015,twitter,234,9
2014,twitter,811,2
2017,twitter,600,2
2015,twitter,1159,2
2016,twitter,227,14
2018,twitter,23,3049
2013,twitter,724,3
2012,twitter,328,1
2013,twitter,292,2
2016,twitter,81,133
2013,twitter,37,282
2015,twitter,94,68
2014,twitter,30,640
2017,twitter,809,2
2014,twitter,356,3
2018,twitter,2794,1
2018,twitter,873,1
2015,twitter,117,38
2014,twitter,594,1
2015,twitter,1445,1
2016,twitter,722,1
2015,twitter,443,1
2015,twitter,1153,1
2015,twitter,735,1
2014,twitter,602,2
2017,twitter,995,1
2015,twitter,240,7
2014,twitter,176,15
2013,twitter,1428,1
2016,twitter,41,564
2017,twitter,354,5
2015,twitter,274,5
2017,twitter,500,2
2012,twitter,82,32
2014,twitter,210,11
2018,twitter,810,1
2017,twitter,68,304
2016,twitter,496,5
2014,twitter,24,1007
2017,twitter,1141,1
2018,twitter,4205,1
2018,twitter,524,5
2014,twitter,416,2
2013,twitter,352,1
2014,twitter,316,5
2018,twitter,29,1949
2013,twitter,54,138
2017,twitter,4144,1
2016,twitter,404,2
2013,twitter,2204,1
2015,twitter,197,11
2017,twitter,325,10
2014,twitter,133,19
2016,twitter,261,4
2015,twitter,695,1
2018,twitter,415,6
2013,twitter,332,2
2018,twitter,4992,1
2012,twitter,268,1
2013,twitter,355,4
2012,twitter,623,1
2018,twitter,60,494
2018,twitter,699,3
2014,twitter,800,1
2017,twitter,537,3
2018,twitter,1128,1
2013,twitter,120,24
2016,twitter,1000,1
2012,twitter,56,63
2016,twitter,330,3
2018,twitter,458,4
2016,twitter,353,9
2015,twitter,787,1
2016,twitter,187,25
2018,twitter,979,1
2018,twitter,2330,1
2017,twitter,2266,1
2012,twitter,199,2
2014,twitter,302,3
2012,twitter,27,311
2018,twitter,656,1
2018,twitter,1689,1
2018,twitter,301,14
2018,twitter,407,3
2017,twitter,380,2
2015,twitter,546,1
2017,twitter,523,3
2013,twitter,183,11
2016,twitter,324,8
2012,twitter,305,2
2013,twitter,867,1
2013,twitter,475,1
2016,twitter,224,6
2018,twitter,352,10
2016,twitter,218,10
2015,twitter,154,24
2014,twitter,7080,1
2017,twitter,1413,1
2015,twitter,303,8
2018,twitter,842,2
2016,twitter,957,1
2012,twitter,162,5
2016,twitter,467,4
2018,twitter,1726,1
2015,twitter,2075,1
2014,twitter,27,836
2015,twitter,1087,1
2016,twitter,84,111
2013,twitter,959,1
2013,twitter,366,2
2018,twitter,235,23
2017,twitter,597,5
2018,twitter,1755,1
2018,twitter,759,1
2013,twitter,4325,1
2013,twitter,318,3
2018,twitter,404,11
2015,twitter,446,3
2018,twitter,736,1
2018,twitter,381,6
2013,twitter,458,1
2015,twitter,515,2
2017,twitter,2309,1
