year,indicator,counts,n_items
2013,blog,34,3
2016,blog,35,6
2013,blog,36,4
2018,blog,36,1
2018,blog,37,1
2014,blog,38,3
2012,blog,39,1
2014,blog,39,1
2014,blog,40,2
2012,blog,42,3
2015,blog,43,1
2013,blog,44,1
2014,blog,46,5
2015,blog,49,2
2012,blog,51,2
2014,blog,55,4
2017,blog,55,2
2014,blog,56,1
2012,blog,59,2
2014,blog,62,1
2014,blog,63,2
2016,blog,64,2
2014,blog,66,1
2017,blog,66,1
2016,blog,70,2
2014,blog,73,1
2015,blog,74,1
2013,blog,77,1
2018,blog,77,1
2012,blog,82,1
2015,blog,91,1
2016,blog,94,1
2013,blog,104,1
2015,blog,143,1
2013,blog,280,1
2012,blog,0,1237826
2017,blog,0,1513183
2018,blog,0,1609170
2015,blog,1,35366
2013,blog,2,8930
2018,blog,2,10189
2013,blog,3,3377
2013,blog,4,1609
2016,blog,5,1198
2017,blog,6,595
2014,blog,7,476
2015,blog,7,544
2017,blog,7,475
2017,blog,8,305
2018,blog,8,301
2012,blog,9,158
2015,blog,9,287
2012,blog,14,53
2014,blog,14,80
2017,blog,14,74
2012,blog,15,39
2012,blog,16,48
2014,blog,16,58
2015,blog,16,55
2015,blog,17,56
2015,blog,18,33
2016,blog,19,32
2013,blog,20,20
2016,blog,20,24
2018,blog,20,21
2013,blog,21,16
2017,blog,22,14
2012,blog,23,11
2014,blog,23,14
2017,blog,23,19
2012,blog,25,13
2015,blog,25,11
2017,blog,25,11
2015,blog,26,11
2013,blog,27,8
2013,blog,28,8
2016,blog,28,8
2013,blog,29,8
2016,blog,29,9
2012,blog,31,6
2017,blog,31,1
2015,blog,32,10
2018,blog,33,2
2018,blog,34,3
2013,blog,35,1
2018,blog,35,3
2016,blog,37,4
2017,blog,40,2
2014,blog,41,3
2015,blog,41,1
2015,blog,42,2
2017,blog,42,2
2013,blog,43,3
2018,blog,43,2
2015,blog,44,6
2016,blog,44,3
2018,blog,44,1
2016,blog,45,1
2014,blog,47,3
2016,blog,47,3
2017,blog,47,1
2014,blog,48,2
2015,blog,50,2
2013,blog,51,3
2015,blog,51,1
2015,blog,52,2
2018,blog,53,1
2013,blog,54,1
2014,blog,57,1
2017,blog,58,1
2013,blog,59,3
2013,blog,63,1
2013,blog,79,3
2014,blog,81,1
2016,blog,86,1
2014,blog,114,1
2015,blog,119,1
2015,blog,127,1
2014,blog,131,1
2015,blog,217,1
2016,facebook,0,1366230
2014,facebook,2,16050
2014,facebook,3,6228
2017,facebook,4,6331
2015,facebook,5,3421
2018,facebook,5,2290
2013,facebook,6,1189
2015,facebook,6,2143
2018,facebook,6,1478
2016,facebook,7,1521
2017,facebook,9,871
2017,facebook,10,645
2015,facebook,11,536
2017,facebook,11,537
2012,facebook,13,131
2013,facebook,13,215
2013,facebook,14,195
2015,facebook,14,341
2016,facebook,14,255
2018,facebook,16,79
2016,facebook,17,187
2017,facebook,18,144
2014,facebook,20,86
2015,facebook,20,145
2018,facebook,21,29
2012,facebook,22,41
2018,facebook,22,28
2013,facebook,24,50
2014,facebook,25,67
2016,facebook,25,51
2014,facebook,26,48
2014,facebook,27,51
2017,facebook,27,51
2012,facebook,29,20
2018,facebook,29,15
2013,facebook,30,26
2018,facebook,30,16
2013,facebook,31,34
2016,facebook,33,15
2016,facebook,34,33
2017,facebook,34,18
2014,facebook,35,33
2012,facebook,36,8
2014,facebook,36,15
2017,facebook,36,28
2012,facebook,38,9
2015,facebook,38,24
2018,facebook,38,7
2013,facebook,42,16
2017,facebook,44,17
2012,facebook,45,5
2015,facebook,46,11
2013,facebook,48,9
2013,facebook,49,6
2018,facebook,49,4
2014,facebook,51,13
2016,facebook,51,6
2014,facebook,52,6
2017,facebook,52,14
2017,facebook,53,7
2012,facebook,54,7
2015,facebook,54,11
2017,facebook,54,6
2018,facebook,54,2
2015,facebook,55,6
2016,facebook,56,5
2018,facebook,56,2
2013,facebook,57,8
2016,facebook,57,8
2016,facebook,59,6
2014,facebook,61,7
2015,facebook,62,6
2015,facebook,64,4
2013,facebook,67,7
2014,facebook,67,6
2016,facebook,68,4
2014,facebook,69,6
2018,facebook,71,2
2013,facebook,73,8
2013,facebook,74,4
2016,facebook,74,4
2016,facebook,75,4
2016,facebook,76,4
2017,facebook,76,2
2012,facebook,78,2
2015,facebook,78,3
2017,facebook,78,2
2012,facebook,79,4
2012,facebook,80,1
2013,facebook,80,7
2016,facebook,81,2
2016,facebook,82,4
2018,facebook,82,1
2013,facebook,83,4
2014,facebook,84,3
2017,facebook,87,3
2013,facebook,92,7
2014,facebook,92,3
2016,facebook,92,2
2016,facebook,93,2
2012,facebook,94,2
2017,facebook,94,4
2014,facebook,95,2
2013,facebook,97,4
2016,facebook,98,4
2014,facebook,100,2
2014,facebook,102,3
2012,facebook,103,1
2017,facebook,103,1
2015,facebook,104,2
2013,facebook,105,2
2015,facebook,106,5
2014,facebook,111,1
2017,facebook,111,2
2015,facebook,112,3
2012,facebook,113,1
2016,facebook,116,1
2017,facebook,120,1
2015,facebook,121,1
2018,facebook,121,1
2015,facebook,123,1
2014,facebook,125,2
2014,facebook,127,1
2017,facebook,128,1
2015,facebook,130,1
2016,facebook,131,1
2013,facebook,132,2
2014,facebook,134,1
2012,facebook,136,1
2015,facebook,137,1
2012,facebook,139,2
2016,facebook,140,1
2015,facebook,145,1
2016,facebook,148,1
2014,facebook,150,1
2016,facebook,150,1
2017,facebook,152,1
2017,facebook,160,1
2014,facebook,162,1
2012,facebook,169,1
2012,facebook,170,1
2017,facebook,171,2
2017,facebook,177,1
2015,facebook,179,2
2014,facebook,184,1
2016,facebook,184,1
2015,facebook,188,1
2014,facebook,201,1
2014,facebook,202,1
2014,facebook,210,1
2012,facebook,219,1
2013,facebook,247,1
2013,facebook,250,1
2017,facebook,261,1
2014,facebook,270,1
2015,facebook,270,2
2013,facebook,273,1
2016,facebook,284,1
2015,facebook,290,1
2013,facebook,307,1
2013,facebook,308,1
2012,facebook,338,1
2014,facebook,342,1
2013,facebook,351,2
2014,facebook,362,1
2014,facebook,402,1
2014,facebook,412,1
2014,facebook,476,1
2013,facebook,526,1
2013,facebook,548,1
2013,facebook,618,1
2012,facebook,688,1
2014,facebook,695,1
2014,facebook,712,1
2014,facebook,780,1
2014,facebook,1123,1
2014,facebook,1306,1
2013,facebook,1343,1
2014,facebook,1691,1
2013,facebook,1762,1
2014,facebook,2431,1
2014,facebook,0,1325926
2017,facebook,1,110492
2015,facebook,3,11241
2017,facebook,3,12153
2015,facebook,4,5797
2018,facebook,4,4275
2012,facebook,5,1131
2013,facebook,5,1815
2016,facebook,6,2213
2018,facebook,7,859
2013,facebook,8,617
2014,facebook,8,648
2016,facebook,8,1101
2016,facebook,9,755
2014,facebook,11,322
2015,facebook,12,452
2018,facebook,12,185
2015,facebook,13,370
2015,facebook,15,272
2013,facebook,16,141
2016,facebook,16,183
2013,facebook,17,120
2014,facebook,17,112
2012,facebook,19,60
2014,facebook,19,107
2017,facebook,19,106
2012,facebook,21,56
2015,facebook,21,111
2013,facebook,22,61
2016,facebook,23,65
2016,facebook,24,70
2013,facebook,25,39
2014,facebook,28,46
2012,facebook,30,23
2015,facebook,31,47
2016,facebook,31,34
2018,facebook,31,12
2013,facebook,32,26
2016,facebook,32,36
