type,timediff,n_items
closed,565,3
closed,-223,1
closed,-83,26
closed,582,5
closed,559,10
closed,482,8
closed,433,86
closed,-240,2
closed,-97,6
closed,142,152
closed,474,18
closed,-66,18
closed,374,44
closed,574,4
closed,317,43
closed,566,3
closed,534,14
closed,-155,1
closed,205,55
closed,13,2383
closed,-63,61
closed,397,35
closed,434,29
closed,56,496
closed,-49,59
closed,248,106
closed,491,19
closed,-347,1
closed,148,150
closed,99,196
closed,-23,67
closed,523,6
closed,-138,4
closed,314,52
closed,417,22
closed,82,359
closed,-32,55
closed,39,903
closed,16,1757
closed,208,49
closed,543,16
closed,309,108
closed,-164,1
closed,426,31
closed,140,175
closed,-239,2
closed,163,114
closed,409,32
closed,223,90
closed,372,128
closed,297,114
closed,581,5
closed,-133,11
closed,183,195
closed,601,1
closed,91,254
closed,340,109
closed,389,45
closed,97,204
closed,-307,1
closed,383,74
closed,-90,13
closed,406,37
closed,-230,1
closed,266,93
closed,423,25
closed,174,168
closed,392,123
closed,249,106
closed,-107,19
closed,-81,23
closed,-130,5
closed,14,2837
closed,-299,1
closed,200,73
closed,592,4
closed,0,16599
closed,23,1322
closed,-22,78
closed,46,650
closed,-400,1
closed,115,197
closed,138,188
closed,407,71
closed,-308,7
closed,-16,92
closed,232,47
closed,-231,16
closed,610,1
closed,75,206
closed,616,4
closed,-225,1
closed,132,135
closed,464,13
closed,15,2242
closed,458,22
closed,493,28
closed,189,165
closed,-451,4
closed,-142,3
closed,264,59
closed,172,79
closed,-65,16
closed,66,314
closed,375,32
closed,-125,7
closed,467,12
closed,533,7
closed,584,4
closed,484,16
closed,-5,449
closed,292,39
closed,633,5
closed,441,54
closed,499,10
closed,-91,12
closed,-306,2
closed,382,47
closed,113,218
closed,230,126
closed,-74,31
closed,273,45
closed,107,195
closed,250,51
closed,58,416
closed,-57,19
closed,-131,7
closed,130,113
closed,-14,238
closed,-100,9
closed,207,75
closed,150,102
closed,542,6
closed,591,8
closed,141,108
closed,525,13
closed,233,58
closed,456,35
closed,30,1155
closed,373,30
closed,-31,107
closed,-123,5
closed,-389,1
closed,625,2
closed,508,10
closed,539,11
closed,-40,58
closed,90,278
closed,-48,39
closed,147,295
closed,451,15
closed,165,95
closed,-450,1
closed,282,45
closed,-999,1
closed,125,253
closed,65,317
closed,-181,3
closed,365,123
closed,514,9
closed,73,261
closed,-172,3
closed,583,7
closed,626,2
closed,5,3243
closed,242,135
closed,-98,9
closed,-198,1
closed,-149,1
closed,500,10
closed,-401,4
closed,191,75
closed,116,139
closed,-115,3
closed,-232,6
closed,331,37
closed,408,78
closed,308,49
closed,431,36
closed,623,2
closed,231,64
closed,-324,1
closed,325,96
closed,122,163
closed,-75,86
closed,606,8
closed,557,6
closed,414,27
closed,33,1426
closed,-132,12
closed,-15,103
closed,600,1
closed,-141,6
closed,641,2
closed,-47,42
closed,240,65
closed,549,7
closed,526,13
closed,257,53
closed,332,60
closed,-64,21
closed,466,14
closed,-316,2
closed,-273,2
closed,-124,8
closed,123,151
closed,83,237
closed,509,15
closed,40,829
closed,-41,80
closed,-339,1
closed,489,32
closed,214,63
closed,-21,103
closed,166,80
closed,-113,9
closed,575,7
closed,114,272
closed,-267,1
closed,80,324
closed,515,19
closed,-58,35
closed,180,151
closed,57,406
closed,206,64
closed,506,6
closed,-7,218
closed,300,41
closed,492,12
closed,541,7
closed,261,37
closed,570,4
closed,378,55
closed,69,320
closed,92,292
closed,209,64
closed,-76,13
closed,361,67
closed,29,1599
closed,564,4
closed,418,80
closed,344,46
closed,-59,20
closed,201,58
closed,-463,3
closed,438,25
closed,244,87
closed,387,33
closed,-537,5
closed,-251,1
closed,146,283
closed,-102,12
closed,-96,3
closed,295,67
closed,-294,1
closed,404,28
closed,-119,18
closed,-305,6
closed,-136,2
closed,-234,4
closed,-171,2
closed,229,155
closed,-19,95
closed,327,53
closed,513,15
closed,-271,1
closed,-128,4
closed,86,241
closed,-36,45
closed,604,6
closed,43,839
closed,447,20
closed,522,23
closed,-68,17
closed,330,31
closed,184,87
closed,528,7
closed,-28,43
closed,313,41
closed,276,46
closed,-120,6
closed,127,98
closed,121,212
closed,370,36
closed,462,20
closed,101,133
closed,193,96
closed,-94,6
closed,402,33
closed,502,34
closed,-286,1
closed,479,15
closed,-17,102
closed,-572,1
closed,419,41
closed,-11,154
closed,488,22
closed,204,47
closed,10,2168
closed,61,566
closed,-134,4
closed,-111,7
closed,445,70
closed,588,7
closed,253,70
closed,428,19
closed,497,20
closed,-43,66
closed,305,31
closed,480,16
closed,-218,6
closed,-135,3
closed,219,106
closed,520,19
closed,-78,24
closed,271,55
closed,368,22
closed,228,78
closed,460,17
closed,-12,167
closed,254,69
closed,597,1
closed,546,10
closed,285,153
closed,354,69
closed,477,16
closed,-238,1
closed,185,199
closed,371,60
closed,202,121
closed,629,1
closed,-9,208
closed,251,78
closed,102,165
closed,351,51
closed,302,37
closed,45,527
closed,294,56
closed,537,12
closed,-3,366
closed,-70,19
closed,403,51
closed,263,56
closed,595,5
closed,77,477
closed,60,427
closed,226,65
closed,-104,12
closed,177,147
closed,154,106
closed,-84,12
closed,160,154
closed,552,3
closed,303,43
closed,103,176
closed,495,13
closed,246,54
closed,120,227
closed,452,22
closed,-330,1
closed,360,27
closed,329,57
closed,260,62
closed,20,2563
closed,412,33
closed,320,62
closed,486,7
closed,535,2
closed,-87,14
closed,-579,3
closed,386,29
closed,243,67
closed,435,15
closed,-193,3
closed,-536,2
closed,51,584
closed,151,186
closed,-1,2624
closed,443,17
closed,238,72
closed,-45,98
closed,-162,5
closed,430,42
closed,-268,2
closed,221,81
closed,487,17
closed,109,125
closed,338,30
closed,-53,40
closed,636,2
closed,3,3972
closed,-2,619
closed,252,81
closed,152,143
closed,95,186
closed,118,172
closed,335,51
closed,235,96
closed,421,98
closed,410,56
closed,527,11
closed,78,403
closed,-79,27
closed,26,1628
closed,12,2433
closed,510,67
closed,178,79
closed,461,10
closed,135,95
closed,627,2
closed,112,277
closed,-62,26
closed,596,9
closed,545,8
closed,213,92
closed,-143,2
closed,353,38
closed,-360,1
closed,67,515
closed,562,1
closed,-561,1
closed,-277,1
closed,622,1
closed,27,1826
closed,605,4
closed,485,7
closed,436,71
closed,579,6
closed,-37,82
closed,87,334
closed,628,1
closed,393,38
closed,-71,14
closed,70,357
closed,-472,1
closed,-117,5
closed,187,109
closed,287,50
closed,18,1878
closed,362,42
closed,170,69
closed,-34,34
closed,227,146
closed,-154,7
closed,110,106
closed,602,2
closed,196,86
closed,-54,54
closed,104,189
closed,496,10
closed,296,87
closed,-95,7
closed,288,84
closed,211,63
closed,234,127
closed,-112,4
closed,-126,9
closed,620,3
closed,420,21
closed,-321,2
closed,-627,1
closed,-35,24
closed,511,19
closed,179,61
closed,577,4
closed,42,873
closed,385,52
closed,594,3
closed,-92,16
closed,168,108
closed,-69,16
closed,-161,3
closed,268,33
closed,563,9
closed,-169,2
closed,128,122
closed,471,42
closed,463,15
closed,159,164
closed,-52,40
closed,337,39
closed,586,4
closed,2,6267
closed,245,72
closed,380,49
closed,71,450
closed,94,219
closed,572,3
closed,186,128
closed,455,54
closed,17,1718
closed,-279,1
closed,326,63
closed,472,28
closed,269,70
closed,-176,1
closed,203,186
closed,-61,32
closed,-110,8
closed,446,23
closed,-4,457
closed,352,77
closed,-253,2
closed,395,30
closed,638,1
closed,-196,1
closed,143,125
closed,237,118
closed,-44,92
closed,-67,11
closed,312,99
closed,469,36
closed,68,330
closed,277,69
closed,561,13
closed,28,1402
closed,-27,56
closed,512,23
closed,555,6
closed,529,13
closed,-393,1
closed,194,99
gold,355,15
gold,547,2
gold,161,48
gold,278,17
gold,169,34
gold,-168,2
gold,470,4
gold,9,1871
gold,530,7
gold,-159,1
gold,587,1
gold,195,27
gold,301,25
gold,-145,2
gold,52,136
gold,544,7
gold,444,14
gold,-345,1
gold,427,4
gold,521,5
gold,212,17
gold,218,15
gold,318,20
gold,126,52
gold,321,57
gold,35,518
gold,129,34
gold,-85,2
gold,553,4
gold,504,12
gold,-42,90
