type,timediff,n_items
closed,156,134
closed,-80,30
closed,64,367
closed,350,57
closed,-349,4
closed,256,81
closed,399,42
closed,442,23
closed,-392,3
closed,50,421
closed,24,976
closed,356,34
closed,47,423
closed,216,139
closed,548,9
closed,425,26
closed,333,48
closed,316,47
closed,-518,1
closed,-223,1
closed,224,100
closed,565,6
closed,-509,3
closed,-83,32
closed,582,5
closed,559,3
closed,482,15
closed,433,30
closed,-240,1
closed,-97,26
closed,474,18
closed,142,168
closed,-381,7
closed,-66,24
closed,-258,2
closed,374,48
closed,574,8
closed,-264,4
closed,-375,1
closed,317,53
closed,566,13
closed,534,10
closed,-367,3
closed,-155,2
closed,205,110
closed,13,1405
closed,-63,42
closed,397,34
closed,434,38
closed,56,414
closed,-49,34
closed,-292,1
closed,248,105
closed,491,14
closed,-347,3
closed,99,231
closed,148,143
closed,-23,79
closed,523,6
closed,-138,7
closed,-610,2
closed,314,66
closed,417,33
closed,-175,1
closed,-556,2
closed,82,301
closed,-32,60
closed,-364,3
closed,39,536
closed,-458,1
closed,16,1199
closed,208,110
closed,-550,3
closed,543,7
closed,309,49
closed,-164,1
closed,426,28
closed,140,149
closed,-239,1
closed,-256,4
closed,163,115
closed,409,41
closed,624,3
closed,-373,3
closed,223,95
closed,372,35
closed,297,66
closed,581,16
closed,-133,11
closed,-582,1
closed,183,127
closed,601,10
closed,-1266,1
closed,-551,1
closed,340,42
closed,91,235
closed,389,34
closed,97,277
closed,-247,2
closed,-307,1
closed,383,36
closed,-90,20
closed,-359,2
closed,406,34
closed,-230,2
closed,-608,1
closed,266,84
closed,423,23
closed,609,5
closed,-416,1
closed,174,145
closed,-983,1
closed,392,51
closed,249,107
closed,-840,2
closed,-107,18
closed,-81,29
closed,-130,8
closed,14,1479
closed,598,8
closed,-634,1
closed,200,90
closed,-299,2
closed,592,6
closed,-354,5
closed,238,93
closed,-45,54
closed,430,14
closed,-162,2
closed,-268,2
closed,221,81
closed,487,31
closed,-437,1
closed,109,192
closed,-629,1
closed,338,55
closed,-337,1
closed,-53,38
closed,636,2
closed,-351,7
closed,-302,1
closed,3,3425
closed,-2,290
closed,252,98
closed,-245,2
closed,152,127
closed,-394,8
closed,95,246
closed,118,189
closed,335,52
closed,235,82
closed,421,27
closed,-420,1
closed,78,288
closed,527,7
closed,410,42
closed,-560,2
closed,-79,31
closed,-368,3
closed,26,954
closed,12,1446
closed,510,14
closed,178,113
closed,461,13
closed,-179,3
closed,-411,2
closed,135,163
closed,627,1
closed,-554,1
closed,112,235
closed,-62,33
closed,596,2
closed,-260,2
closed,213,80
closed,545,14
closed,-143,8
closed,353,39
closed,-137,6
closed,-360,3
closed,67,376
closed,562,8
closed,-277,2
closed,622,2
closed,27,974
closed,605,11
closed,485,22
closed,-721,1
closed,436,26
closed,628,1
closed,579,19
closed,-37,68
closed,87,248
closed,393,32
closed,-71,53
closed,70,353
closed,-472,1
closed,-117,11
closed,187,128
closed,287,83
closed,-380,9
closed,-455,3
closed,18,1144
closed,362,43
closed,170,122
closed,-177,1
closed,-34,55
closed,227,108
closed,-154,4
closed,110,254
closed,602,8
closed,-552,1
closed,196,110
closed,-54,39
closed,-303,2
closed,104,257
closed,496,8
closed,296,74
closed,-95,15
closed,211,98
closed,288,51
closed,-335,1
closed,-112,12
closed,234,87
closed,-527,1
closed,-327,1
closed,-126,6
closed,620,9
closed,420,22
closed,-321,4
closed,-35,70
closed,-318,1
closed,511,10
closed,179,100
closed,-553,1
closed,577,7
closed,42,584
closed,385,35
closed,594,8
closed,-92,24
closed,168,110
closed,-69,39
closed,-161,6
closed,268,53
closed,563,3
closed,-169,1
closed,128,183
closed,-470,1
closed,471,21
closed,463,18
closed,-201,1
closed,-387,1
closed,159,150
closed,-530,1
closed,-52,45
closed,586,9
closed,337,41
closed,-587,1
closed,-252,1
closed,-244,1
closed,2,4428
closed,245,96
closed,-344,4
closed,380,43
closed,71,314
closed,-711,2
closed,94,251
closed,572,12
closed,186,128
closed,455,15
closed,17,1084
closed,-362,2
closed,-279,1
closed,326,60
closed,472,25
closed,269,68
closed,-176,2
closed,203,116
closed,-61,35
closed,-110,15
closed,-4,230
closed,446,30
closed,352,37
closed,-253,2
closed,395,34
closed,-688,1
closed,-196,3
closed,143,161
closed,-236,1
closed,237,93
closed,-353,5
closed,-522,3
closed,-44,44
closed,312,73
closed,-67,25
closed,-184,4
closed,-1023,1
closed,469,23
closed,68,315
closed,277,76
closed,561,8
closed,28,1068
closed,-121,10
closed,-27,85
closed,-319,2
closed,-436,1
closed,512,9
closed,555,13
closed,-605,2
closed,529,9
closed,-505,1
closed,-336,1
closed,-393,6
closed,-144,3
closed,194,101
closed,261,72
closed,570,10
closed,378,63
closed,69,339
closed,92,264
closed,-803,1
closed,209,120
closed,-185,3
closed,-76,18
closed,29,914
closed,361,51
closed,564,11
closed,418,23
closed,344,53
closed,-59,46
closed,201,100
closed,-463,3
closed,438,26
closed,244,99
closed,-680,1
closed,387,23
closed,-251,2
closed,146,178
closed,-102,15
closed,-96,28
closed,295,48
closed,-294,5
closed,404,44
closed,-119,10
closed,-311,1
closed,-305,1
closed,-136,6
closed,-171,4
closed,327,54
closed,-19,111
closed,229,89
closed,513,11
closed,-271,1
closed,-128,9
closed,86,245
closed,-36,43
closed,604,3
closed,43,519
closed,447,30
closed,522,9
closed,-68,31
closed,330,60
closed,-329,2
closed,528,13
closed,184,105
closed,-28,88
closed,313,45
closed,-312,2
closed,276,65
closed,127,186
closed,121,186
closed,-120,5
closed,-369,3
closed,370,41
closed,462,16
closed,-486,1
closed,101,247
closed,-243,2
closed,193,91
closed,-94,30
closed,402,34
closed,-186,5
closed,502,12
closed,479,24
closed,-17,119
closed,-704,1
closed,419,24
closed,-11,159
closed,488,17
closed,204,110
closed,10,1504
closed,61,360
closed,-134,6
closed,-111,13
closed,445,35
closed,588,5
closed,253,101
closed,-495,1
closed,-395,1
closed,-246,3
closed,-212,2
closed,428,31
closed,497,6
closed,-43,44
closed,305,62
closed,480,16
closed,-218,2
closed,-135,5
closed,219,82
closed,-229,2
closed,-78,27
closed,520,9
closed,-619,1
closed,271,63
closed,368,49
closed,228,104
closed,460,23
closed,-12,122
closed,254,75
closed,597,3
closed,285,67
closed,546,4
closed,477,19
closed,354,40
closed,185,109
closed,-221,3
closed,371,41
closed,-564,1
closed,202,98
closed,-295,2
closed,629,2
closed,-152,4
closed,-9,200
closed,251,67
closed,-487,1
closed,-195,1
closed,102,209
closed,-338,2
closed,351,42
closed,302,61
closed,-636,2
closed,45,436
closed,537,7
closed,294,72
closed,-3,316
closed,-70,33
closed,403,37
closed,263,91
closed,595,11
closed,-187,1
closed,77,375
closed,-419,2
closed,60,304
closed,226,81
closed,177,126
closed,-104,7
closed,154,134
closed,-84,23
closed,-602,1
closed,160,152
closed,303,59
closed,552,6
closed,-502,2
closed,103,197
closed,-204,1
closed,495,15
closed,246,74
closed,120,160
closed,452,12
closed,-213,2
closed,329,55
closed,360,39
closed,260,83
closed,20,1239
closed,-276,2
closed,412,32
closed,320,69
closed,-468,2
closed,-370,1
closed,-485,2
closed,486,25
closed,535,10
closed,-1246,2
closed,-87,19
closed,386,29
closed,243,80
closed,-193,3
closed,435,19
closed,51,384
closed,151,132
closed,-293,1
closed,-1,600
closed,443,24
closed,0,5785
closed,593,8
closed,-331,1
closed,-22,108
closed,23,981
closed,46,417
closed,-400,4
closed,115,171
closed,138,165
closed,407,26
closed,-16,145
closed,232,98
closed,-231,4
closed,610,2
closed,75,327
closed,616,2
closed,-557,1
closed,132,177
closed,464,17
closed,15,1354
closed,458,21
closed,493,14
closed,189,131
closed,-142,7
closed,264,92
closed,172,127
closed,66,342
closed,-65,29
closed,375,27
closed,-125,14
closed,467,20
closed,533,2
closed,584,16
closed,484,21
closed,-5,210
closed,-491,2
closed,633,4
closed,292,63
closed,590,4
closed,441,30
closed,-540,1
closed,-214,1
closed,499,12
closed,-91,25
closed,382,50
closed,-283,2
closed,-406,2
closed,113,213
closed,230,106
closed,-609,1
closed,-74,31
closed,273,92
closed,107,174
closed,250,92
closed,58,337
closed,-131,7
closed,-57,32
closed,130,209
closed,-14,123
closed,-100,16
closed,207,87
closed,-300,1
closed,150,142
closed,591,7
closed,542,6
closed,-541,1
closed,141,137
closed,525,16
closed,233,78
closed,456,15
closed,30,789
closed,373,59
closed,-372,1
closed,-31,62
closed,-123,8
closed,-366,1
closed,-389,2
closed,-867,1
closed,625,5
closed,508,16
closed,-624,1
closed,90,236
closed,539,8
closed,-40,50
closed,-340,1
closed,-48,36
closed,147,153
closed,451,17
closed,-473,3
closed,165,126
closed,-450,1
closed,282,50
closed,125,218
closed,65,353
closed,-181,2
closed,-573,1
closed,365,35
closed,514,19
closed,73,327
closed,-172,4
closed,-484,1
closed,-533,1
closed,583,7
closed,-341,1
closed,626,4
closed,-1025,1
closed,5,2896
closed,242,85
closed,-241,3
closed,-590,1
closed,-98,16
closed,-198,3
closed,-149,2
closed,640,1
closed,-424,1
closed,500,14
closed,191,101
closed,-401,2
closed,116,188
closed,-115,11
closed,331,50
closed,408,47
closed,431,26
closed,308,53
closed,-284,1
closed,623,8
closed,-324,2
closed,231,99
closed,325,57
closed,122,196
closed,-464,1
closed,-75,22
closed,557,5
closed,606,4
closed,414,40
closed,33,742
closed,-132,3
closed,-15,117
closed,600,5
closed,-158,5
closed,-501,1
closed,-141,2
closed,-47,67
closed,240,84
closed,-425,4
closed,549,8
closed,526,11
closed,257,87
closed,332,60
closed,-333,1
closed,-64,38
closed,-216,2
closed,466,20
closed,-465,2
closed,-273,1
closed,-124,15
closed,123,271
closed,83,266
closed,509,14
closed,-768,1
closed,-459,2
closed,40,523
closed,-41,52
closed,-290,3
closed,489,13
closed,214,105
closed,-21,104
closed,-190,3
closed,166,130
closed,-113,8
closed,-382,7
closed,-800,1
closed,114,189
closed,575,6
closed,-267,1
closed,80,263
closed,-322,5
closed,-516,2
closed,515,15
closed,-224,1
closed,-58,30
closed,180,124
closed,57,380
closed,206,118
closed,506,14
closed,-350,5
closed,-7,157
closed,300,54
closed,-442,1
closed,541,5
closed,492,24
closed,-591,1
gold,-922,5
gold,-916,1
gold,-791,1
gold,-738,1
gold,-696,2
gold,-693,1
gold,-685,1
gold,-649,1
gold,-643,1
gold,-603,1
gold,-590,1
gold,-564,2
gold,-522,2
gold,-521,2
gold,-519,1
gold,-487,1
gold,-463,11
gold,-460,1
gold,-436,3
gold,-434,2
gold,-426,1
gold,-415,1
gold,-402,1
gold,-373,2
gold,-368,1
gold,-362,3
gold,-347,1
gold,-334,2
gold,-325,4
gold,-323,9
gold,-318,2
gold,-294,7
gold,-293,3
gold,-270,1
gold,-236,3
gold,-222,1
gold,-156,7
gold,-127,2
gold,-122,1
gold,-119,3
