type,timediff,n_items
closed,-519,1
closed,-455,2
closed,-386,1
closed,-335,3
closed,-253,1
closed,-244,2
closed,-210,1
closed,-201,1
closed,-184,2
closed,-177,2
closed,-176,1
closed,-121,6
closed,-92,1
closed,-71,1
closed,-69,1
closed,-67,1
closed,-62,2
closed,-61,1
closed,-53,1
closed,-37,1
closed,-35,1
closed,-34,3
closed,-2,2
closed,2,3
closed,3,1
closed,12,2
closed,26,5
closed,27,1
closed,28,2
closed,42,2
closed,67,1
closed,68,1
closed,71,6
closed,78,3
closed,87,3
closed,94,1
closed,95,1
closed,109,3
closed,110,6
closed,112,1
closed,118,3
closed,128,3
closed,135,2
closed,143,3
closed,152,6
closed,159,1
closed,168,2
closed,170,2
closed,178,3
closed,179,7
closed,186,4
closed,187,7
closed,203,2
closed,211,4
closed,213,2
closed,221,2
closed,227,1
closed,234,3
closed,235,6
closed,237,7
closed,238,2
closed,245,14
closed,252,2
closed,268,4
closed,269,2
closed,277,7
closed,287,4
closed,288,3
closed,296,3
closed,312,2
closed,335,20
closed,337,5
closed,338,2
closed,352,2
closed,353,4
closed,362,2
closed,380,1
closed,385,5
closed,393,1
closed,395,7
closed,410,1
closed,420,3
closed,421,4
closed,430,1
closed,436,2
closed,446,3
closed,455,1
closed,461,2
closed,463,1
closed,485,2
closed,487,7
closed,496,1
closed,511,1
closed,512,2
closed,527,1
closed,529,1
closed,555,1
closed,561,1
closed,-7213,1
closed,-3562,1
closed,-2970,1
closed,-2351,1
closed,-1766,1
closed,-1697,1
closed,-1214,1
closed,-1022,2
closed,-1013,1
closed,-948,1
closed,-920,2
closed,-812,2
closed,-547,1
closed,-545,1
closed,-512,2
closed,-346,1
closed,-304,1
closed,-254,1
closed,-188,2
closed,-160,1
closed,-159,2
closed,-118,1
closed,-103,22
closed,-60,17
closed,-42,2
closed,-29,4
closed,-26,2
closed,-18,1
closed,1,4
closed,4,1
closed,9,2
closed,19,1
closed,34,1
closed,35,5
closed,36,3
closed,37,1
closed,52,2
closed,53,3
closed,54,4
closed,62,9
closed,76,6
closed,79,2
closed,84,1
closed,85,7
closed,93,1
closed,96,3
closed,111,1
closed,117,1
closed,119,3
closed,129,8
closed,134,2
closed,136,4
closed,137,2
closed,145,3
closed,153,12
closed,161,3
closed,162,6
closed,169,6
closed,171,5
closed,176,4
closed,188,5
closed,195,6
closed,210,2
closed,212,6
closed,218,5
closed,220,2
closed,236,2
closed,262,2
closed,270,5
closed,278,1
closed,279,2
closed,286,3
closed,293,5
closed,304,17
closed,310,2
closed,311,6
closed,318,4
closed,319,6
closed,321,3
closed,328,7
closed,336,5
closed,343,5
closed,345,4
closed,346,2
closed,355,1
closed,363,3
closed,369,1
closed,379,1
closed,388,1
closed,394,9
closed,396,3
closed,411,3
closed,413,1
closed,427,1
closed,429,7
closed,444,1
closed,453,2
closed,454,2
closed,504,1
closed,519,2
closed,530,1
closed,536,1
closed,544,1
closed,547,6
closed,553,1
closed,554,1
closed,571,2
closed,578,7
gold,-2771,1
gold,-1709,1
gold,-758,1
gold,-408,1
gold,-392,1
gold,-373,2
gold,-264,1
gold,-223,1
gold,-199,2
gold,-165,1
gold,-148,1
gold,-97,1
gold,-90,1
gold,-33,1
gold,-13,1
gold,6,1
gold,13,3
gold,16,2
gold,21,3
gold,24,1
gold,39,1
gold,47,1
gold,50,1
gold,55,3
gold,82,2
gold,89,1
gold,91,4
gold,140,3
gold,148,1
gold,156,1
gold,163,1
gold,167,3
gold,174,1
gold,181,2
gold,190,1
gold,200,1
gold,205,1
gold,208,1
gold,215,3
gold,223,3
gold,224,3
gold,248,3
gold,255,2
gold,256,2
gold,275,3
gold,281,1
gold,297,3
gold,309,2
gold,314,3
gold,316,4
gold,317,3
gold,333,1
gold,340,1
gold,341,1
gold,347,2
gold,350,1
gold,356,2
gold,364,1
gold,372,1
gold,383,2
gold,389,1
gold,392,4
gold,398,2
gold,417,1
gold,422,3
gold,425,4
gold,426,4
gold,434,1
gold,450,2
gold,490,1
gold,-13180,1
gold,-1998,1
gold,-1564,1
gold,-502,3
gold,-419,1
gold,-396,1
gold,-238,1
gold,-195,2
gold,-186,1
gold,-152,3
gold,-111,5
gold,-94,1
gold,-76,1
gold,-59,6
gold,-43,1
gold,-28,2
gold,-19,1
gold,-17,2
gold,-12,1
gold,-3,2
gold,10,1
gold,45,3
gold,51,3
gold,60,7
gold,61,3
gold,69,1
gold,77,1
gold,92,3
gold,102,7
gold,103,1
gold,120,3
gold,121,2
gold,146,2
gold,151,1
gold,154,1
gold,177,1
gold,184,1
gold,185,2
gold,201,1
gold,202,1
gold,204,1
gold,209,1
gold,219,2
gold,226,1
gold,229,3
gold,243,6
gold,244,2
gold,246,3
gold,251,1
gold,253,2
gold,254,1
gold,260,3
gold,261,1
gold,271,2
gold,276,2
gold,285,2
gold,294,3
gold,302,1
gold,303,1
gold,305,3
gold,313,2
gold,320,2
gold,330,1
gold,344,5
gold,351,2
gold,354,1
gold,368,2
gold,370,1
gold,378,2
gold,386,2
gold,387,1
gold,402,1
gold,404,1
gold,418,1
gold,443,1
gold,452,1
gold,462,1
gold,480,1
gold,520,1
gold,535,1
gold,564,1
gold,-1714,1
gold,-1632,1
gold,-1040,1
gold,-706,1
gold,-405,1
gold,-368,1
gold,-277,1
gold,-236,1
gold,-121,1
gold,-71,1
gold,-69,2
gold,-62,2
gold,-54,1
gold,-35,1
gold,-34,1
gold,-27,2
gold,2,1
gold,18,1
gold,26,1
gold,27,1
gold,28,3
gold,42,1
gold,68,3
gold,78,1
gold,87,2
gold,95,1
gold,104,4
gold,112,1
gold,118,6
gold,128,6
gold,135,2
gold,143,1
gold,152,1
gold,159,3
gold,168,1
gold,170,1
gold,178,1
gold,187,2
gold,194,2
gold,196,1
gold,213,3
gold,221,2
gold,227,2
gold,234,3
gold,237,2
gold,238,1
gold,245,8
gold,268,1
gold,269,2
gold,277,1
gold,287,1
gold,326,1
gold,335,2
gold,337,1
gold,338,3
gold,353,1
gold,362,2
gold,380,1
gold,385,3
gold,393,1
gold,395,1
gold,410,2
gold,420,3
gold,421,1
gold,436,1
gold,455,1
gold,461,1
gold,469,1
gold,471,1
gold,487,1
gold,496,1
gold,512,1
gold,-2080,1
gold,-1726,1
gold,-1487,1
gold,-1462,1
gold,-1377,1
gold,-1151,1
gold,-557,1
gold,-498,1
gold,-425,3
gold,-306,4
gold,-131,1
gold,-124,1
gold,-123,1
gold,-74,1
gold,-48,6
gold,-40,1
gold,-31,5
gold,-21,5
gold,-7,2
gold,-5,3
gold,0,5
gold,15,1
gold,23,4
gold,30,2
gold,33,3
gold,40,5
gold,57,4
gold,58,1
gold,65,1
gold,75,2
gold,83,2
gold,90,2
gold,107,1
gold,113,2
gold,115,1
gold,116,2
gold,122,1
gold,123,1
gold,125,2
gold,130,1
gold,132,2
gold,138,2
gold,141,2
gold,147,3
gold,150,5
gold,165,1
gold,166,1
gold,180,3
gold,189,3
gold,191,4
gold,206,2
gold,207,6
gold,214,3
gold,230,2
gold,231,1
gold,233,3
gold,240,1
gold,242,3
gold,250,5
gold,264,1
gold,273,2
gold,282,2
gold,292,2
gold,300,2
gold,325,3
gold,331,3
gold,332,4
gold,365,2
gold,373,1
gold,375,2
gold,407,2
gold,414,1
gold,451,1
gold,456,1
gold,467,2
gold,484,1
gold,493,2
gold,526,1
gold,533,1
gold,542,1
gold,575,1
gold,-2161,1
gold,-1870,1
gold,-1862,1
gold,-414,1
gold,-390,1
gold,-259,1
gold,-215,1
gold,-207,1
gold,-122,1
gold,-89,1
gold,-56,1
gold,-55,1
gold,-46,1
gold,-24,3
gold,-6,2
gold,7,3
gold,22,4
gold,25,2
gold,31,8
gold,38,2
gold,41,3
gold,48,3
gold,63,3
gold,74,1
gold,81,2
gold,88,2
gold,100,1
gold,108,1
gold,124,3
gold,131,3
gold,133,1
gold,139,3
gold,149,3
gold,155,2
gold,157,4
gold,164,2
gold,173,1
gold,175,2
gold,182,2
gold,192,1
gold,198,1
gold,199,1
gold,217,1
gold,225,1
gold,239,1
gold,241,2
gold,247,4
gold,258,1
gold,265,2
gold,272,3
gold,274,1
gold,283,5
gold,284,5
gold,289,4
gold,290,2
gold,299,3
gold,306,2
gold,315,1
gold,322,1
gold,323,1
gold,324,2
gold,334,1
gold,339,2
gold,342,1
gold,348,5
gold,349,2
gold,359,1
gold,366,3
gold,367,3
gold,376,1
gold,381,1
gold,391,1
gold,415,2
gold,416,1
gold,424,1
gold,440,1
gold,449,1
gold,465,2
gold,475,1
gold,481,2
gold,483,1
gold,-2802,1
gold,-1316,1
gold,-1273,1
gold,-1172,1
gold,-1120,1
gold,-995,1
gold,-846,1
gold,-462,1
gold,-203,1
gold,-194,1
gold,-160,1
gold,-151,1
gold,-129,2
gold,-101,1
gold,-29,2
gold,-18,7
gold,4,3
gold,9,2
gold,11,1
gold,19,3
gold,34,2
gold,35,3
gold,36,1
gold,37,1
gold,44,3
gold,53,1
gold,54,3
gold,59,1
gold,62,2
gold,76,2
gold,85,1
gold,96,1
gold,111,4
gold,117,1
gold,129,1
gold,134,2
gold,136,1
gold,137,5
gold,144,1
gold,145,1
gold,153,11
gold,161,1
gold,171,3
gold,176,1
gold,188,9
gold,195,3
gold,212,3
gold,218,1
gold,220,5
gold,236,2
gold,270,1
gold,278,1
gold,286,2
gold,293,2
gold,304,4
gold,310,1
gold,311,1
gold,318,2
gold,319,2
gold,321,2
gold,328,1
gold,343,1
gold,345,3
gold,363,1
gold,377,2
gold,388,1
gold,394,1
gold,396,2
gold,405,1
gold,427,1
gold,429,1
gold,437,3
gold,478,3
gold,521,1
gold,530,1
gold,547,2
gold,560,1
gold,578,1
hybrid,-2086,1
hybrid,-657,3
hybrid,-433,3
hybrid,-399,1
hybrid,-182,2
hybrid,-8,1
hybrid,-6,1
hybrid,7,1
hybrid,31,4
hybrid,48,1
hybrid,63,2
hybrid,72,1
hybrid,74,1
hybrid,81,1
hybrid,88,2
hybrid,105,1
hybrid,106,1
hybrid,108,3
hybrid,124,1
hybrid,131,3
hybrid,133,3
hybrid,139,1
hybrid,155,2
hybrid,158,1
hybrid,164,1
hybrid,175,3
hybrid,182,2
hybrid,198,1
hybrid,217,1
hybrid,222,1
hybrid,239,4
hybrid,241,3
hybrid,265,2
hybrid,267,3
hybrid,274,2
hybrid,283,1
hybrid,284,1
hybrid,289,1
hybrid,299,1
hybrid,306,6
hybrid,315,1
hybrid,322,3
hybrid,323,1
hybrid,324,2
hybrid,334,2
hybrid,339,4
hybrid,342,1
hybrid,348,1
hybrid,349,4
hybrid,357,1
hybrid,366,13
hybrid,376,2
hybrid,381,2
hybrid,390,1
hybrid,391,1
hybrid,424,1
hybrid,432,2
hybrid,475,1
hybrid,517,1
hybrid,-1750,1
