type,timediff,n_items
closed,-59,2
closed,-43,3
closed,-36,2
closed,-19,4
closed,-17,6
closed,-12,2
closed,-9,2
closed,-3,6
closed,-1,18
closed,10,37
closed,20,18
closed,29,20
closed,43,15
closed,45,14
closed,51,21
closed,60,6
closed,61,6
closed,69,10
closed,77,9
closed,86,6
closed,92,18
closed,101,9
closed,102,7
closed,103,16
closed,120,10
closed,121,10
closed,127,8
closed,146,11
closed,151,10
closed,154,14
closed,160,20
closed,177,14
closed,184,7
closed,185,2
closed,193,9
closed,201,9
closed,202,9
closed,204,10
closed,209,16
closed,219,7
closed,226,9
closed,228,15
closed,229,9
closed,243,9
closed,244,4
closed,246,9
closed,251,15
closed,253,8
closed,254,7
closed,260,19
closed,261,7
closed,263,7
closed,271,7
closed,276,9
closed,285,9
closed,294,19
closed,295,16
closed,302,13
closed,303,8
closed,305,6
closed,313,7
closed,320,10
closed,327,5
closed,329,11
closed,330,12
closed,344,22
closed,351,1
closed,354,6
closed,360,4
closed,361,3
closed,368,15
closed,370,4
closed,371,6
closed,378,11
closed,386,11
closed,387,6
closed,402,7
closed,403,1
closed,404,5
closed,412,6
closed,418,1
closed,419,6
closed,428,5
closed,435,3
closed,438,4
closed,443,4
closed,445,6
closed,447,9
closed,452,9
closed,460,4
closed,462,1
closed,477,5
closed,479,2
closed,480,3
closed,486,2
closed,488,2
closed,495,1
closed,497,5
closed,502,1
closed,513,2
closed,520,6
closed,522,6
closed,528,2
closed,535,3
closed,537,1
closed,546,2
closed,552,1
closed,570,1
closed,588,2
closed,595,1
closed,-856,1
closed,-268,1
closed,-253,2
closed,-126,1
closed,-121,1
closed,-112,1
closed,-110,1
closed,-95,3
closed,-79,2
closed,-71,1
closed,-61,2
closed,-54,4
closed,-53,2
closed,-52,2
closed,-45,2
closed,-44,4
closed,-37,3
closed,-35,6
closed,-34,4
closed,-27,4
closed,-4,5
closed,-2,5
closed,2,68
closed,3,50
closed,12,28
closed,17,26
closed,18,27
closed,26,33
closed,27,24
closed,28,22
closed,42,21
closed,67,21
closed,68,13
closed,70,7
closed,71,12
closed,78,11
closed,87,10
closed,94,8
closed,95,15
closed,104,11
closed,109,10
closed,110,12
closed,112,14
closed,118,12
closed,128,16
closed,135,13
closed,143,6
closed,152,10
closed,159,8
closed,168,10
closed,170,15
closed,178,9
closed,179,9
closed,186,9
closed,187,3
closed,194,10
closed,196,13
closed,203,6
closed,211,13
closed,213,10
closed,221,14
closed,227,6
closed,234,9
closed,235,9
closed,237,4
closed,238,20
closed,245,7
closed,252,13
closed,268,9
closed,269,8
closed,277,8
closed,287,12
closed,288,10
closed,296,6
closed,312,1
closed,326,11
closed,335,6
