type,timediff,n_items
closed,192,1243
closed,546,158
open,543,253
closed,-66,517
closed,-223,12
closed,-674,1
closed,-9,2113
closed,235,1085
open,-376,17
open,-416,19
closed,-560,5
closed,335,706
closed,629,24
open,-556,13
closed,-192,20
open,6,83636
open,163,2193
open,417,850
closed,-743,2
open,294,1684
open,254,1628
open,-94,539
closed,-689,2
open,351,1197
closed,-221,17
closed,347,876
open,154,2825
open,-602,12
open,-234,66
open,-528,11
open,368,1375
closed,290,1081
closed,-264,23
open,-134,180
open,522,292
open,-120,217
closed,-304,24
closed,373,477
closed,-404,11
closed,-247,19
closed,630,25
open,185,1995
open,-614,1
closed,-347,23
closed,-36,697
open,45,8449
closed,5,43537
closed,516,220
open,-794,8
open,102,3350
closed,556,131
open,-246,29
open,-697,9
open,-1148,1
closed,-530,2
open,-597,7
closed,205,1164
closed,48,4801
open,-680,9
open,-229,59
closed,599,45
closed,-570,8
closed,-1021,1
open,313,1528
closed,188,1384
open,-286,18
closed,542,137
closed,-219,11
closed,-964,1
closed,-513,7
closed,288,837
closed,-202,16
open,370,1339
open,330,1290
open,-312,28
closed,-162,65
closed,-456,8
closed,-613,1
closed,-302,14
open,-329,18
open,-369,12
closed,-556,3
open,-1,24767
closed,174,1390
closed,625,51
open,-806,3
closed,371,508
closed,214,1355
open,-355,45
closed,-188,53
open,344,1150
closed,157,1573
open,-495,14
closed,257,883
closed,-228,20
open,-84,414
open,244,1701
open,204,1939
closed,-1133,2
open,261,1267
open,-538,21
closed,-879,6
closed,-428,7
open,-578,4
closed,-862,5
closed,340,848
open,-595,4
open,121,2856
closed,-214,15
open,629,71
closed,-3,4215
closed,580,143
closed,129,1927
open,-70,487
open,-521,14
closed,-43,770
open,546,258
closed,112,2323
open,-661,1
open,-564,20
closed,-437,8
closed,506,197
closed,55,4144
open,-704,22
closed,606,75
open,-96,398
open,-293,84
closed,-480,2
closed,-931,2
closed,-620,3
open,-730,12
open,-887,4
closed,-423,11
closed,-563,11
open,263,1794
open,-787,6
closed,-506,7
closed,592,94
closed,-55,658
open,-419,6
closed,-1114,1
open,477,401
open,320,1168
closed,-152,103
closed,24,14570
open,-913,1
open,-305,17
open,-502,18
closed,-646,1
closed,264,1116
closed,421,436
closed,-138,178
open,-485,26
open,588,181
open,-328,21
open,488,398
open,-739,18
closed,230,1116
open,251,1919
closed,-712,2
open,151,2516
open,-271,67
open,-879,1
open,-17,1652
closed,-344,28
closed,-147,92
open,462,677
open,-3,5836
open,-611,17
closed,-444,2
open,-922,1
open,-1667,1
open,479,412
closed,-230,20
closed,-387,7
open,-497,87
closed,513,167
closed,-781,6
closed,-1232,1
open,-1005,1
open,-186,64
open,-1088,1
closed,-821,1
open,-537,32
closed,439,364
open,-243,28
open,-988,2
open,-1145,1
closed,-313,5
closed,539,222
open,-720,30
open,-563,14
closed,-413,16
closed,482,279
closed,31,11842
closed,522,142
open,253,1703
open,-620,3
closed,-807,2
open,564,392
open,-663,15
open,-212,26
closed,565,189
open,327,1562
open,-295,95
closed,-28,908
closed,508,242
open,-195,51
open,-803,3
closed,-579,10
closed,608,79
closed,197,1306
open,-789,5
open,-338,22
closed,140,1912
open,-238,102
open,-395,13
open,595,181
closed,-311,8
closed,240,1239
closed,-154,110
open,201,1867
closed,-1016,4
closed,-565,1
closed,-548,2
open,101,3191
open,-404,17
open,61,6587
open,412,716
open,-461,17
closed,-688,5
closed,463,269
open,-36,1139
open,-193,34
closed,-1239,1
open,-1095,1
closed,249,1035
closed,-320,25
open,329,1209
open,486,402
open,-544,28
closed,349,1211
closed,-871,1
open,-687,33
open,386,975
open,92,3855
closed,364,719
closed,-278,17
open,-545,25
open,-388,24
closed,-238,7
closed,307,958
closed,-378,6
open,-445,19
open,311,1753
open,-151,107
open,-896,2
open,-77,490
closed,-321,19
closed,-361,20
open,111,3399
open,-488,9
closed,-815,1
open,-160,56
closed,333,698
closed,-10,2208
closed,-912,1
open,-471,20
closed,79,2815
open,-20,1462
open,-628,7
open,-203,81
open,-811,5
open,85,4208
closed,573,84
open,536,443
open,-671,8
open,-103,218
closed,-1349,3
open,-343,20
closed,-881,1
closed,-1038,1
open,553,234
open,396,849
open,-754,17
open,-146,200
open,453,607
open,413,769
closed,-473,1
closed,-119,237
open,59,6909
closed,148,1632
open,-737,31
open,470,643
closed,639,27
open,-443,26
closed,-62,571
open,-18,1460
open,-469,21
open,-920,1
closed,231,1081
open,427,814
closed,-145,149
closed,74,3233
open,-780,1
closed,271,864
closed,-105,270
closed,-1615,1
open,-452,19
closed,-88,446
closed,-245,30
closed,-639,2
closed,314,755
open,-412,22
open,-863,7
open,-946,3
closed,-739,1
open,-101,197
open,301,1591
closed,-328,15
closed,397,561
open,-127,236
closed,-271,20
open,612,87
closed,-411,7
open,161,3252
open,318,1372
open,-438,44
open,-889,2
closed,-371,8
closed,283,829
open,218,1840
open,-170,100
closed,480,263
closed,-314,9
closed,383,453
closed,-297,10
open,-227,27
closed,-848,3
open,-153,156
closed,-397,7
open,-604,18
closed,366,590
closed,72,3648
closed,466,282
open,603,109
closed,-86,383
closed,-69,475
open,-547,13
open,52,7197
closed,155,1566
open,503,468
closed,98,2535
open,560,221
open,363,1381
closed,138,1797
open,9,42982
closed,238,1135
closed,81,2742
closed,181,1563
closed,-703,1
open,377,941
closed,-252,21
open,-462,26
closed,224,1155
open,-51,625
closed,-195,26
closed,-352,31
open,394,1042
closed,-589,10
closed,-572,7
open,137,2552
closed,541,141
closed,247,989
open,-1290,4
open,37,10660
open,-385,20
closed,-966,1
closed,190,1372
closed,-161,118
open,-288,34
open,-371,6
open,505,794
open,54,6690
closed,-104,230
closed,173,1460
closed,330,679
open,405,750
closed,-655,1
closed,273,1047
open,619,79
open,11,33571
closed,-287,24
open,-60,805
open,519,479
closed,356,765
open,379,1001
closed,456,258
open,-637,9
open,279,9163
open,-29,1093
open,-480,7
open,-226,38
closed,-370,11
open,336,1280
open,-86,311
closed,-2,5148
closed,382,608
closed,88,2579
closed,-453,1
open,-269,46
closed,-864,1
closed,-707,2
open,-129,268
closed,-396,7
open,-580,13
open,-326,17
closed,-356,11
closed,-1415,1
closed,14,17288
open,310,1344
closed,171,2210
open,-1214,1
open,270,1299
closed,-439,6
open,621,41
closed,57,4219
closed,254,868
open,-352,24
closed,-128,252
open,-535,16
open,538,402
closed,-679,1
closed,-522,8
closed,591,83
closed,-211,22
open,-846,2
open,144,2582
open,-435,42
open,-886,3
closed,-762,1
open,44,8718
closed,280,902
open,4,104915
closed,634,32
closed,-254,21
closed,380,506
closed,223,1069
closed,-197,12
open,355,1466
closed,-294,8
open,569,150
open,-10,3104
closed,363,1176
closed,-237,30
closed,-394,13
open,-447,25
closed,12,17535
open,429,704
closed,406,636
open,-93,908
closed,-280,13
open,35,13550
closed,-263,32
open,346,1262
closed,-520,4
closed,489,231
closed,-306,25
open,-219,28
open,-670,5
closed,432,1399
open,-727,18
closed,-857,5
closed,-886,1
open,-348,37
open,-642,9
closed,-81,429
closed,110,2339
closed,-532,4
open,-248,47
closed,150,1533
closed,-24,1167
closed,53,4307
closed,-475,1
closed,250,962
open,-882,1
open,465,614
closed,193,1287
closed,-518,8
closed,-969,1
closed,587,47
open,-414,60
closed,-658,2
closed,176,1385
closed,-150,97
open,225,1723
closed,276,888
open,-217,44
open,-374,11
open,-6,4648
open,-457,14
closed,219,1075
open,-46,680
open,439,1086
open,339,1385
open,299,2427
open,-951,3
closed,-233,17
open,-89,440
open,-991,1
closed,-841,1
closed,-684,1
open,199,1710
closed,-316,9
open,-426,37
closed,-259,17
closed,-416,9
open,567,276
open,-189,67
open,-566,16
open,-272,88
open,173,2296
closed,428,306
closed,-399,9
closed,-342,22
closed,-48,589
closed,568,120
open,-215,24
closed,411,447
closed,117,1906
open,-255,65
closed,511,207
open,401,736
closed,-385,8
open,-849,5
closed,-836,1
closed,611,36
open,498,3854
closed,3,53571
closed,-74,462
closed,200,1102
closed,43,5496
open,7,73602
closed,-17,1520
closed,-625,1
open,-735,62
closed,-568,6
open,415,791
closed,537,130
closed,243,1085
open,-718,16
closed,-157,78
closed,-608,3
open,-481,2
open,432,1047
closed,326,913
closed,-240,26
open,-56,1073
closed,-200,17
open,-801,3
open,-818,2
closed,563,97
closed,-634,1
open,192,1841
open,349,1547
open,-490,14
closed,212,1125
open,-39,935
closed,-1145,2
closed,-226,14
closed,-1579,3
closed,195,1337
open,306,1715
open,149,2240
closed,-323,6
open,-82,395
open,-122,139
open,-433,35
open,617,54
closed,41,6224
closed,-209,19
open,517,348
open,-476,11
open,-633,4
open,280,4488
open,-25,871
closed,-409,3
closed,-860,1
open,631,34
closed,-549,1
closed,67,3419
closed,518,220
open,-659,7
closed,-41,720
open,-716,13
closed,618,27
open,-108,211
open,197,1872
open,-265,33
closed,50,4661
closed,-1277,2
open,391,1081
closed,-375,12
open,-542,21
open,291,1583
open,448,723
closed,-458,16
closed,-7,2274
closed,133,2107
open,348,1494
open,-782,8
closed,76,3098
open,-174,99
open,-257,56
closed,-952,1
closed,470,276
closed,19,13498
open,265,1605
open,-157,65
open,-668,8
open,322,1530
open,-808,8
open,222,1579
closed,102,2467
closed,259,933
closed,-173,54
open,-357,44
open,182,2240
open,25,19370
closed,-133,140
closed,-116,260
closed,-273,23
closed,-724,1
open,239,1501
closed,-216,32
closed,-667,6
closed,145,1751
open,-734,26
closed,185,1386
open,139,2897
open,550,221
open,-72,420
closed,-159,66
closed,-1218,4
closed,579,91
closed,285,2088
open,607,86
open,-409,24
open,-1017,2
closed,-142,100
closed,-750,1
closed,368,525
closed,-282,5
open,-466,17
open,-506,33
open,524,324
open,367,1036
open,-55,839
closed,-693,1
closed,-382,10
open,-492,23
open,-649,9
open,424,744
open,481,568
closed,451,436
open,-549,17
open,-1000,2
closed,-425,12
open,284,1791
closed,-268,24
closed,551,161
closed,337,541
closed,-465,2
open,241,1745
open,-715,10
closed,-114,266
closed,477,275
open,-575,34
open,258,1806
closed,-57,599
closed,-351,21
closed,-40,806
closed,-491,13
open,-150,63
open,315,1216
open,158,3187
open,-601,19
closed,-451,4
closed,-902,1
open,-618,5
closed,69,3737
open,-167,89
closed,560,111
open,-658,11
open,-207,74
closed,109,2153
closed,-83,482
open,175,2379
closed,-377,9
closed,-534,2
open,-359,18
closed,-1137,1
open,474,393
open,317,1138
open,-148,102
closed,401,3730
open,374,1307
open,-205,143
closed,-883,1
open,-565,17
closed,227,1611
closed,-101,393
open,-114,473
closed,384,431
open,174,2056
closed,327,832
closed,170,1454
closed,-341,7
closed,427,492
open,-902,1
open,-608,16
closed,-441,4
closed,-735,3
open,-1410,1
open,248,1552
open,91,4138
open,-748,14
closed,-384,6
open,148,2392
closed,-1697,1
open,559,190
open,-648,5
closed,-778,1
open,205,1617
open,-551,13
closed,453,458
open,-634,3
closed,493,205
open,-223,62
closed,-367,11
open,516,447
open,-83,354
open,-240,129
closed,593,74
open,476,439
closed,142,1228
closed,-16,1554
closed,-310,14
open,573,199
open,-717,16
closed,85,2733
closed,576,114
closed,125,2133
open,-617,13
open,433,675
open,-166,78
closed,28,13679
closed,225,1403
open,333,1336
open,490,448
open,39,10099
closed,-593,6
closed,11,19984
closed,208,1285
open,-660,1
open,-449,15
open,-292,29
open,350,1381
open,-743,18
open,-900,2
closed,-182,77
open,-349,20
closed,-576,4
closed,-265,17
open,13,32825
closed,-716,2
open,-81,520
closed,-225,15
open,-375,27
closed,-1127,1
open,-392,8
open,364,1345
closed,-816,1
open,167,2704
closed,-168,68
open,-883,4
closed,-759,2
open,-515,22
closed,334,796
closed,-151,127
closed,237,1174
open,224,2191
closed,277,894
open,281,2016
open,-475,7
open,-558,12
open,-107,209
open,-164,70
open,592,161
open,-458,16
open,-641,10
open,-33,886
closed,-334,7
open,255,1534
open,98,3331
closed,403,733
open,-247,57
open,-90,451
closed,-417,5
open,-684,27
open,566,191
open,409,818
closed,-968,1
open,-230,82
open,-133,182
open,-1035,1
open,426,919
open,-373,2
open,523,309
closed,-557,2
closed,-951,1
open,89,4008
open,383,1031
open,-1161,1
open,-1612,1
closed,-600,2
open,-299,25
open,-456,28
closed,-443,9
open,-750,2
open,-610,12
open,-807,5
closed,218,1238
closed,-543,2
closed,-75,471
closed,201,1177
closed,-175,52
open,-933,2
closed,595,119
closed,-118,224
closed,244,1070
open,314,1294
closed,-158,59
closed,-298,18
open,568,278
closed,521,185
open,-408,49
closed,70,3831
closed,267,973
open,-759,12
closed,621,55
open,-548,13
closed,367,573
closed,210,1247
closed,-184,50
open,-97,333
open,425,868
open,582,237
open,-899,1
closed,350,4495
open,482,545
open,-434,84
open,-474,9
closed,-167,45
open,-23,1282
open,442,783
open,-631,8
open,-785,5
open,-334,19
open,-80,420
closed,-267,24
closed,-718,1
closed,-858,3
open,399,749
open,-66,484
closed,376,597
closed,319,806
closed,476,312
open,259,1608
open,-49,897
closed,419,619
open,316,1430
closed,-844,2
closed,8,27164
closed,-490,2
closed,108,2061
open,-289,20
closed,462,324
closed,51,4254
closed,-533,2
open,-175,250
open,-332,14
closed,-476,3
closed,-8,2114
closed,-459,5
open,347,1487
open,190,2265
closed,-870,2
open,-840,4
open,601,124
closed,585,64
closed,-108,241
open,50,8496
open,-275,31
closed,177,1536
closed,-91,456
closed,217,1256
open,-258,48
open,-709,29
closed,-485,11
closed,-642,2
open,-852,2
open,24,19686
closed,103,2337
open,181,2243
closed,-117,207
closed,203,1309
closed,-685,1
open,-130,364
open,392,1128
closed,343,561
open,-384,16
open,-992,1
closed,286,1255
closed,-260,29
open,55,6933
open,309,1313
closed,-337,9
open,-504,65
open,-53,508
closed,-731,2
open,-176,244
closed,-420,15
open,-79,499
open,-530,12
closed,-363,21
open,-587,2
open,-744,63
closed,-463,5
closed,589,68
closed,-406,10
open,-713,26
closed,121,1688
closed,572,108
open,203,1882
closed,475,432
open,-302,54
closed,-135,153
open,-319,19
open,-162,65
closed,-586,1
closed,7,33101
open,-639,14
closed,-38,744
open,277,1480
closed,-489,6
closed,-178,53
closed,-472,2
open,628,80
open,-245,73
open,-696,6
open,-368,32
closed,-612,2
closed,-455,6
open,-268,83
closed,130,1843
closed,-555,12
closed,-44,798
open,-862,1
closed,73,3087
open,-411,9
closed,-949,1
open,485,428
closed,-144,114
open,288,1857
closed,213,1138
closed,-989,3
closed,607,43
open,-337,32
closed,-481,7
open,-788,2
open,-354,29
closed,-327,10
closed,550,161
closed,99,2232
closed,-130,253
open,362,1296
open,-394,12
open,-477,13
closed,-113,307
open,-380,30
closed,239,1259
open,-731,7
open,-437,25
open,-69,452
open,-363,22
open,-971,1
open,-126,187
open,179,1995
open,-420,34
closed,265,882
open,-52,630
closed,365,695
closed,-239,13
closed,-1298,1
closed,-790,3
closed,308,783
open,-95,258
closed,605,77
closed,448,1526
open,-335,26
open,-629,11
closed,-68,443
open,561,230
open,110,2976
closed,391,574
open,70,6608
closed,-913,2
open,421,799
closed,40,5877
closed,80,3173
closed,531,108
open,-261,48
closed,-1013,1
closed,-545,2
open,-121,219
open,27,20291
open,-278,27
closed,631,21
open,-318,44
closed,-54,637
closed,574,199
open,338,1055
open,-755,11
closed,-448,4
closed,163,1486
open,395,876
closed,206,1385
open,-344,13
open,-855,1
open,352,970
closed,246,1127
closed,149,1448
open,312,1325
open,-781,4
open,-527,26
open,-387,30
open,-838,5
open,-1446,1
closed,-771,1
open,269,1269
open,-864,8
open,-413,16
open,326,1307
open,-881,2
open,-470,15
closed,332,650
open,-627,5
closed,-797,4
closed,-189,58
open,-1004,1
open,-553,22
open,186,2114
closed,315,736
closed,-289,15
open,-62,662
open,-513,3
open,-596,8
closed,258,846
closed,-486,26
closed,-329,22
open,-45,801
open,-653,17
closed,398,466
open,3,131788
open,-71,664
open,-228,43
closed,-512,6
open,-1147,1
closed,441,290
open,471,537
open,-505,437
open,-54,699
open,-702,29
open,17,25547
closed,13,17013
closed,-1240,1
open,-137,776
closed,407,555
closed,564,97
closed,-438,1
open,-605,12
open,-154,99
closed,-127,175
closed,-421,8
