year,closed,oa,gold,hybrid,bronze,green,journal_green,only_green
2012,788476,580187,99176,54610,121255,305146,165226,139920
2013,836591,660113,131805,59448,121442,347418,192926,154492
2014,854842,719440,158028,66803,114234,380375,219261,161114
2015,872913,779947,176243,82012,111610,410082,240703,169379
2016,897073,846767,195756,98452,107380,445179,261189,183990
2017,941652,873025,235100,98966,107466,431493,271725,159768
2018,1079833,702709,275778,99244,65726,261961,144397,117564

