author_country,policy_country,n_items,type
CM,CH,3,green
AR,IT,14,green
CA,IT,36,green
IE,NL,7,green
ZA,GB,5,green
ET,IT,24,green
DE,BE,6,green
NZ,FR,1,green
MW,US,2,green
PE,US,1,green
NL,NL,404,green
ID,US,5,green
MM,CH,4,green
EG,GB,2,green
NL,CI,1,green
UG,IT,2,green
GB,AE,18,green
ML,US,2,green
ES,ES,1,green
GR,US,1,green
TN,CI,3,green
SE,ET,1,green
KR,US,8,green
ID,IT,96,green
IT,GB,67,green
TW,AU,1,green
CN,GB,64,green
TZ,NL,1,green
QA,US,1,green
AR,NL,4,green
AR,CH,14,green
NL,CH,110,green
AU,FR,3,green
IT,AU,37,green
PK,US,3,green
ZW,CH,4,green
SE,NL,60,green
CN,IT,30,green
IT,DE,10,green
TR,AU,2,green
CN,BE,2,green
MY,AU,2,green
CO,AU,5,green
GH,CI,1,green
PT,BE,2,green
ES,IT,46,green
AT,GB,21,green
CH,BE,3,green
JP,LU,2,green
IT,CA,4,green
ZM,US,1,green
AU,CA,4,green
GB,TH,5,green
US,AU,1339,green
KE,IT,21,green
PL,AU,8,green
FR,NL,68,green
SA,AU,4,green
US,CA,95,green
JP,CH,24,green
IN,GB,6,green
PF,NL,1,green
MX,CH,23,green
ZA,US,30,green
DK,DE,8,green
AU,IT,46,green
SE,IT,53,green
NZ,LU,4,green
NZ,CH,15,green
HU,GB,4,green
KE,CA,1,green
PT,IT,7,green
TH,IT,5,green
PT,AU,10,green
CH,LU,17,green
LK,IT,2,green
CL,IT,6,green
US,CH,1594,green
FJ,GB,1,green
BE,AE,1,green
US,BR,1,green
IT,LU,65,green
UZ,IT,1,green
TZ,IT,4,green
DE,CH,68,green
FR,DE,13,green
IN,CH,69,green
CH,ES,2,green
JP,IT,5,green
CO,LU,1,green
CZ,NL,8,green
DK,IT,20,green
NO,US,21,green
HR,GB,2,green
AL,IT,2,green
DK,AU,32,green
BE,US,31,green
PK,IT,1,green
GB,AU,899,green
IL,DE,6,green
AU,BE,1,green
CN,CH,63,green
CM,IT,17,green
SB,AU,2,green
CI,CI,1,green
IL,AU,8,green

